title,date,content_original,bias,bias_text,source,year
"opinion: obama shed clark kent demeanor, try superman costume",2014-12-18,"(cnn) case havent noticed, president obama flexing executive muscle lately. paper, headscratcher. all, lost control senate last election. popularity hovering near alltime low. and, course, he lame duck. only one seems told him. it shed clark kentish demeanor flamboyant cape. he superman, sure, he spending awful lot time lately trying get ground. so, suffering political shellacking, he showing still muscle, using executive authority everywhere belief can. president bill clinton famously declared relevance, month losing control house 1994. obama, hand, literally leaping unilateral action: immigration! climate change! regulating internet! cuba! im energized, said buoyant president yearend press conference, friday. im excited prospect next couple years. im certainly going stopping minute... translation: new, alldrama obama. pentup energy, ambition action, barely two month losing control senate. anyone would become annoyed frustrated accused wuss, say senior democratic policy adviser. always better offense defense. it wasnt exactly state secret obama lot todo list election. thinking, according knowledgeable source: felt constrained frustrated tactical responsibility democrat trouble. dont rock boat. dont make democrat take hard votes. dont even campaign red states. didnt. and, turn out, restraint helped one whit. so now, clock ticking, he moved party cheerleader head executive branch. katiebarthedoor, without congress. press conference today, president strongly hinted veto keystone xl pipelineso take republican redstate democrats. want tax reform, too. ti season presidential list, he checking twice legacy looms. everything redefines notion lame duck. but here flurry activity also defines: 2016 presidential race. forcing cuba issue front center, instance, republican presidential wannabe respond. so, too, obamas move immigration. sort new test conservative loyalty created moves. candidate could find pushed direction might otherwise go. for instance, parse difference republican prepresidential candidate marco rubio, jeb bush rand paul obamas cuba deal. rubio called president single worst negotiator white house lifetime. bush like deal, stopped short namecalling. dont think negotiating repressive regime, bush said long way rubios accusation president willfully ignorant naïve. rand paul went even obamas direction, saying, opening cuba probably good idea. in appealing younger cubanamerican demographic, obama making republican choose sides. he gambling number him. eventually, democrat same. obamas audacity turn misdirected, hillary clinton explain likely defend it. he proactive enough, elizabeth warren wing party react. it cliché presidential campaign generally defined president served before. barack obama actively making sure thats case. but there one caveat new, muscular, proactive obamaworld: might lead higher expectations. exactly obama began faded. read cnnopinions new flipboard magazine. follow u twitter @cnnopinion. join u facebook/cnnopinion.",0,left,CNN (Web News),2014
grumbling boehnerspeakership mutiny,2013-01-02,"a rough twomonth stretch left speaker john a. boehner facing nascent rebellion within party ahead vote whether continue lead house 113th congress convenes thursday. no challenger stepped forward wednesday evening, multiple lawmaker attending evening conference meeting said rumbling discontent within republican ranks. growing complaint signal rocky road ohio republican month ahead try negotiate debt spending fight likely dominate next two years. the speakership vote dramatic recent memory dominate opening day 113th congress, republican retain slimmeddown majority house democrat expand majority senate. addition spending, congress expected debate immigration, gun control broad tax reform. republican enter session trying regroup particularly brutal two week mr. boehner, whose party killed plan b” solution fiscal cliff.” turn democrat pas deal worked white house senate minority leader mitch mcconnell, kentucky republican. nearly twothirds house republican voted deal, said betrayal conservative principle even allow come vote. congressman boehner signed country fiscal suicide pact,” said one incoming congressman, rep.elect steve stockman texas, said one reason vote mr. boehner speaker. mr. stockman, former lawmaker returning congress 16year absence, say alternative would be. denying mr. boehner speakership would require defection least 17 house republican thursday, congress member sworn vote next speaker. one pressure group, american majority action, said late wednesday thought enough republican prepared vote mr. boehner force resign. however, group renegade republican would vote consistently ballot ballot speaker alternative stepped forward, sign happening wednesday evening. mr. boehner met late wednesday member conference vote house rules, rep. phil gingrey, conservative georgia republican, said afterward one spoke speaker gathering. there discontent meeting,” told reporter rumor republican challenge mr. boehner’s speakership. i’ve heard bit piece that, there’s something going on, i’m part it.” house majority leader eric cantor, virginia republican man many thought might challenge mr. boehner, backing him, said cantor aide noted mr. boehner mr. cantor walked republican conference meeting together sign solidarity. but mr. cantor another top lieutenant, house majority whip kevin mccarthy, voted week’s cliff deal, mr. boehner new house republican conference chairwoman cathy mcmorris rodgers voted it. the vote, coupled failure plan b, left mr. boehner wounded. still, wellliked within republican caucus, many rankandfile lawmaker voted cliff deal said reflection speaker. speaker boehner leadership deserve tremendous amount credit done effort solve problem avert fiscal cliff,” said rep. marsha blackburn, tennessee republican. unfortunately, president obama senate majority leader harry reid shown willingness address real root problem — washington’s outofcontrol spending.” rep. tom cole, oklahoma republican, appeared perfectly comfortable wednesday evening idea mr. boehner would keep spot. i don’t sense much way organized opposition,” said. plenty conservative supporting speaker. won’t kind split.” mr. cole pointed mr. boehner party’s helm took control chamber 2010 maintained majority 2012 elections. think reserve good very, deep,” said. after meeting, mr. cole said speaker asking member vote — would possible sign insecurity fear rebellion — added he’d shocked” significant number” republican didn’t vote mr. boehner. this diverse conference — lot strong opinion lot principled people, there’s going difference time time. john boehner manages exceptionally well, don’t sense largescale dissatisfaction leadership,” said. still, mr. boehner felt wrath party sent lawmaker home wednesday without passing emergency spending bill superstorm sandy relief. republican new york new jersey blasted move, one, rep. peter t. king, even told wealthy new york donor contribute party. rep. michael g. grimm, represents hardhit area staten island, voted cliff deal tuesday praised mr. boehner leadership immediately vote. but wednesday morning, clear vote sandy aid would come up, mr. grimm laced speaker floor speech considered voting thursday. after meeting wednesday afternoon, mr. boehner mr. cantor said passing sandy spending would top priority new congress, lawmaker northeast said mr. boehner would retain support. mr. boehner also took heat several conservative booted committee assignment ahead new congress. leadership aide said men ousted weren’t team players, lawmaker outside pressure group said seemed punished conservative voting records. rep. tim huelskamp, kansa republican one member lost committee spot, coy asked whether would vote mr. boehner speaker. we’ll find tomorrow,” said wednesday evening ducked back conference meeting. • sean lengell contributed report. sign daily newsletter manage newsletter copyright © 2019 washington times, llc. click reprint permission.",2,right,Washington Times,2013
sequestration threat america?s vulnerable,2013-03-08,"the labor market continued improve last month, according bureau labor statistics. february, economy added 236,000 job unemployment rate edged 7.7 percent. last twelve months, private sector added 2.1 million jobs; contrast, employment state, local, federal government declined 100,000 jobs. despite progress, million american still experiencing effect great recession; indeed, many worker suffered protracted period joblessness lower wages. range government safetynet program assisted american found struggling weak economy. recent budget cuts, notably sequestration went effect march 1, threaten weaken social safety net even employment remains far prerecession levels. in month’s employment analysis, hamilton project look current poverty trend united states, important role government support programs, sequestration could damage critical aspect safety net midst continued labormarket weakness. also continue explore job gap,” number job u.s. economy need create order return prerecession employment levels. a look america’s poverty rate according official poverty rate measured u.s. census bureau, 12.5 percent american lived poverty 2007, prior start great recession, figure slightly poverty rate 1980. wake recession, official poverty rate increased significantly, reaching 15.1 percent 2010—its highest level recent decades—and remained elevated level 2011. first glance, then, might appear nation made little progress—or even gone backwards—in fighting war poverty, official rate doesn’t tell whole story. some expert argue official rate inaccurate measure wellbeing lowincome american omits effect tax many antipoverty program provide valuable support lowincome american families. 2008 discussion paper hamilton project, rebecca blank mark greenberg explain official poverty rate flawed could improved. blank greenberg advocate using alternative measure poverty, developed national academy science (nas) 1990s. na rate account change cost good food—notably, health care—and make different adjustment family size inflation. importantly, official poverty rate considers family’s pretax money income, na measure also account tax credit noncash benefit like earned income tax credit (eitc), child tax credit, housing stipends, energy assistance, food nutrition program like supplemental nutrition assistance program (snap, formerly food stamps). the graph below, based measure recent paper bruce meyer james sullivan, illustrates difference two poverty metrics. a frequent criticism antipoverty program incentivize people work less, turn raise official poverty rate. certain programs, unemployment insurance, may effect individual (although evidence suggests effect large), bruce meyer dan rosenbaum nada eissa jeffrey liebman shown key antipoverty program like eitc actually provide strong work incentives. overall effect antipoverty program official poverty rate is, therefore, ambiguous, clear government program greatly reduced moreaccurate na poverty rate. the role policy alleviating poverty the striking fact graph that, since 1990s, na poverty rate fallen significantly 3.4 percentage point official measure 2010. human terms, mean 10 million fewer people living poverty line, according na rate. intuitively, make sense: development expansion effective antipoverty program like eitc, expansion health insurance lowincome child families, recent temporary expansion safety net great recession reduced number american living poverty time. what’s more, temporary recovery measure policymakers enacted recession cushioned family devastating effect weak economy. many current antipoverty programs, therefore, real positive impact reflected official poverty statistics. many american still living poverty, even family would struggle get absence support program enacted expanded past three decades. despite success policy assisting atrisk families, program scaled back significantly result march 1 sequestration. center budget policy priorities, instance, estimate extended unemployment benefit enacted recession kept 3.4 million american poverty line 2010 alone. yet sequestration, extended unemployment benefit cut almost 10 percent. longerterm safetynet program important reducing na poverty rate recent years—including housing voucher lowincome american special supplemental nutrition program women, infants, child (wic)—will also reduced. sequestration, therefore, could disproportionately negative impact american need assistance recovering recession. recently, hamilton project released 15 way rethink federal budget, report including range proposals—written expert many policy political backgrounds—for reducing deficit progrowth policy hinder united states’ recovery efforts. progress improving deficit labormarket situation last years, clear work remains done help many american family transition back full employment. the february job gap a february, nation face job gap” 10.2 million jobs. chart show job gap evolved since start great recession december 2007, long take close different assumption job growth. solid line show net number job lost since great recession began. broken line track long take close job gap alternative assumption rate job creation going forward. if economy add 208,000 job per month, average monthly rate best year job creation 2000s, take april 2020 close job gap. given optimistic rate 321,000 job per month, average monthly rate best year job creation 1990s, economy reach prerecession employment level november 2016. also try interactive job gap calculator clicking view job gap chart state here. conclusion although poverty—by measure—has increased since beginning recession 2007, evidence suggests many antipoverty program enacted past several decade federal government’s response recession played important role keeping many american family poverty line. indeed, much work remains done supporting lowincome families, nation’s social safety net successful past decade giving many american support need get ahead. sequestration threatens throw many american family back poverty economic recovery cutting program helping stay water. in coming months, hamilton project continue look trend poverty federal government provide lowincome american opportunity become selfsufficient succeed. increasing access postsecondary education increasing incentive work, many way government reduce poverty way promotes broad economic growth. pursuing policy improve life million american strengthen economy.",1,center,Brookings Institution,2013
"if michael flynn nothing wrong, didn’t tell truth?",2020-05-07,"one issue beginning whether flynn’s call ambassador sergey kislyak violated logan act, bar private u.s. citizen trying influence another country disputes” united states. always somewhat shaky legal argument. noted jan. 12, 2017, column, first disclosed flynn’s call, logan act never criminally enforced. i wrote feb. 11, two day resigned: michael flynn’s real problem isn’t logan act, obscure probably unenforceable 1799 statute bar private meddling foreign policy disputes. it’s whether president trump’s national security adviser sought hide colleague nation preinauguration discussion russian government sanction obama administration imposing.” ad ad in column, quoted question posed rep. adam b. schiff (dcalif.), house intelligence committee chairman would later lead impeachment investigation trump. would [flynn] conceal nature call unless conscious wrongdoing?” there always deeper problem, one still isn’t resolved. trump administration eager blunt punishment obama gave russia know gross interference presidential election? dec. 29 expulsion 35 russian diplomats, obama trying impose cost adversary. evidence show flynn wanted reassure adversary avoid confrontation. how know flynn’s intention? said nov. 30, 2017, guilty plea admitting made false statement conversation kislyak. statement offense” accompanied agreement state dec. 29, 2016, discussion another transition team official, flynn called russian ambassador requested russia escalate situation respond u.s. sanction reciprocal manner.” ad ad wa flynn improperly tricked jan. 24, 2017, interview fbi misstating told kislyak? so, resign later plead guilty? in flynn’s feb. 13, 2017, resignation letter, admitted made misleading statement vice president penny kislyak call. here’s put it: fast pace events, inadvertently briefed vice president elect others incomplete information regarding phone call russian ambassador.” that’s fbi talking, it’s flynn. question, again, misstated facts. on day resigned, flynn offered revealing account interview daily caller. explained talk kislyak 35 guy thrown out. . . . basically, ‘look, know happened. we’ll review everything.’ ” ad ad why matter? issue flynn discussing kislyak serious. russia secretly subverted democratic elections. obama, delayed sanction far long, finally took action dec. 29 expulsions. behalf nation, whose election system attacked. the intelligence community first disclosed russia’s meddling oct. 7, 2016, statement charged russia’s seniormost officials” conducted cyberattack intended interfere u election process.” that initial damning assessment amplified jan. 6, 2017, report, intelligence community said russia tried denigrate” democratic candidate, hillary clinton, harm electability potential presidency” moscow clear preference” trump. ad ad the senate intelligence committee, led republican, spent past three year investigating whether spy chiefs’ finding correct. judgment: committee found reason dispute intelligence community’s conclusions.” we know fbi made serious mistake russia investigation. misstatement omission fbi official application surveillance trump campaign aide carter page egregious. recent disclosure prepared question flynn 2017 trouble anyone worry abuse power federal investigator seeking damning information suspect. but none address fundamental question got story rolling first place: incoming national security adviser telling kremlin’s man washington worry expulsion 35 spies, new administration took office, we’ll review everything”? ad ad that wrong message sending december 2016. accumulation evidence since scope russian subversion, it’s even troubling.",0,left,Washington Post,2020
watch doing: could maryland gov. larry hogan challenge trump 2020?,2019-02-09,"watch doing: could maryland gov. larry hogan challenge trump 2020? enlarge image toggle caption patrick semansky/ap patrick semansky/ap when republican governor skyhigh approval rating deepblue state like maryland, get noticed. for larry hogan, mean republican party starting ask straightforward question complicated answer: maryland popular executive challenge president trump 2020 primary? who larry hogan? last november, hogan became first republican governor win reelection maryland 50 years. entering politics, 62yearold spent two decade private sector businessman. hogan known nononsense demeanor. he also battled cancer — twice — office. unlike elected republicans, hogan spoken trump. thats especially true recent partial government shutdown, significant impact maryland due large federal workforce. when hogan toured baltimorewashington international airport january highlight plight tsa workers, pointedly went trump, many blamed shutdown. it crazy. like, dont get wall, im going shut government. dont open government, cant speak chamber. bunch 2yearolds, know? hogan said, making fun trump house speaker nancy pelosi, dcalif. speaking reporter airport, hogan offered solution d.c. dysfunction: look maryland, republican democrat still able work together. people want jobs. thats try do, said hogan. like 30 mile road, annapolis washington. read metro section [of newspaper]. watch doing. a different vision republican party hogan didnt embrace national spotlight first term. thats changed since winning reelection. hogan said want part national conversation move gop forward. and appearance like one airport — comment trump — republican insider washington publicly urging hogan run president. jerry taylor, head libertarianleaning think tank niskanen center, might biggest cheerleader hogan primary challenge. taylor spoken hogan several times, urging think running higher office. taylor even gave maryland governor book history new hampshire, notsosubtle nod one first primary battle path republican nomination. hogan represents different vision republican party, according taylor. think hogan would popular among voter parties. most people ideologically extreme, say taylor. want competence. want government care them. dont want corruption. gov. hogan able deliver matter governor. a fool errand challenge trump but knocking incumbent president primary — even unpopular president — exceedingly difficult. last time sitting president lost party renomination battle 1856. i dont think realistic expect larry hogan going challenge president trump gop primary 2020, said melissa deckman, political science professor washington college maryland. trump remains enormously popular base party. think would respect fool errand anyone challenge donald trump point. hogan problem, deckman explains, make popular governor — moderate, centrist approach governing — wont favor early primary state like iowa south carolina. you conservative, religiously minded voter quite happy donald trump record religious liberty issue example, deckman said. thats something larry hogan really embraced per se. fact, hogan done opposite maryland. said social issues, example, table im governor. at hogan inauguration, hint presidential bid? hogan — part — hasnt closed door potential 2020 run. recent interview cnn, played idea. would run thought could actually win, hogan said. hogan say he flattered attention, right focus maryland, sworn second term. and yet, second inauguration earlier month, sign — maybe — hogan maryland mind. hogan invited jeb bush — former gop governor florida wellknown trump critic — introduce him. also hired mark salter, former speechwriter late sen. john mccain, rariz., vocal detractor trump, help craft address. while hogan address didnt mention trump name, governor railed debilitating politics washington. maybe, notably, hogan included tidbit father, former maryland rep. lawrence hogan sr., famously became first republican congress call richard nixon impeachment. he put aside partisanship answer demand conscious thought right thing nation loved, hogan said, adding, man, even president united states, law. hogan expected visit early caucus state iowa march. four year ago, one wouldve expected maryland littleknown governor one day talked presidential candidate. but trump challenge — apparent ceiling job approval number polling, looming concern outcome special counsel robert muellers investigation, continuing question business empire possible conflict interest — may created space republican challenger.",1,center,NPR Online News,2019
request end daca multiple state denied federal judge,2018-10-01,"seven state sued block daca program couldn’t demonstrate permitting continue causing irreparable harm, federal judge said friday, declining halt obamaera policy protects young illegal immigrant deportation. u.s. district judge andrew hanen, previously ruled dacarelated programs, argued state waited long seek preliminary injunction. here, egg scrambled,” hanen wrote ruling. try put back shell preliminary injunction record, perhaps great risk many, make sense serve best interest country.” still, hanen said think program, stand deferred action childhood arrival program, unconstitutional. nation truly want daca program, congress say so, hanen wrote. a justice department consistently argued, daca unlawful attempt circumvent congress, pleased court agreed today, justice department spokesman devin omalley said. on friday, texas attorney general ken paxton said confident court would ultimately find daca unconstitutional. said injunction denied state waited long request it. texas joined filing lawsuit alabama, arkansas, louisiana, nebraska, south carolina west virginia. state argued former president barack obama never authority create program like daca circumvented congress. what daca trump administration want it? the state filed lawsuit texas, hoping hanen would stop daca recipient continuing renew enrollment. would triggered conflict three federal order required u.s. government keep accepting daca renewals, even president trump tried end program last year. the daca program formed executive action obama 2012 allowed certain people came u.s. illegally minor protected immediate deportation. recipients, called dreamers, able request consideration deferred action” period two years, subject renewal. fox news’ kaitlyn schallhorn associated press contributed report",2,right,Fox News,2018
5 question 2 week congress plan work fall,2014-09-09,"5 question 2 week congress plan work fall enlarge image toggle caption j. scott applewhite/ap j. scott applewhite/ap tanned rested fiveweek summer vacation, congress returned brief session returning home campaign reelection. autumn session expected last couple weeks, give take couple days. what accomplished short time? great deal, house senate choose work together. nothing, dont. wondering happen, havent watching 113th congress now. congress become predictable recent month pretty much answer five question probably september session right now, advance. 1. another shutdown like last fall? no. chamber approve temporary spending measure known continuing resolutions. keep federal government running december, time congress expected back lame duck session. republican relatively confident party prospect november voting. risk another stumble poll like one suffered 2013 partial shutdown? 2. congress give president obama new authority fresh funding battle terrorist group calling islamic state? they might, asks. again, might not. president may ask. right chance wont ask directly anything specific. bill introduced monday sen. bill nelson, dfla., rep. frank wolf, rva., seeking clear empowerment president pursue islamic state vigorously month ahead. nelson threeyear time limit; wolf none. nelson specifically forbade use ground troops; wolf not. such grant president may impossible month ago, beheading two freelance american journalist shifted political wind yet again. still, far assured nelson wolf bill could pas chamber short time fulltime campaign kick in. administration may satisfied vague expression hill sympathy, vote defeat measure disapproval airstrikes already undertaken islamic state. 3. two week work there much do? because two deadlinesensitive task hand — cr reauthorizing exportimport bank — accomplished short order. both driven sept. 30 deadline would impose real consequence missed. essentially stopgap measure that, satisfying one, keep status quo place election day probably give gop stronger hand play december. purpose preelection session really tackle nation serious problems. is, rather, position incumbent reelection november. 4. really least productive congress ever? there measure negative distinction applied congress. note 113th congress finish farm bill left 112th, get immigration reform one chamber. done budget regular process appropriating money, neither predecessor. and fair call nothing congress. house list, senate one too; busy thing ignoring others thing. scrupulously. once month house work stack bill restraining epa obamacare upbraiding obama administration releasing guantanamo prisoner exchange u.s. hostage bowe bergdahl earlier year. and senate meanwhile debating constitutional amendment would allow limit campaign spending, plus boost federal minimum wage block business avoiding u.s. tax merging foreign companies. so chamber work away agenda, never twain shall meet. without joint action get finished bill president desk, produce little except fodder shout show tv video footage campaign ad air fall. 5. congress lowest approval rating since gallup began measuring (hovering around 13 percent present), many incumbent seeking reelection expected win? hard understand is, contradiction around long time. used say american loved hate congress also loved member congress. common see reelection rate higher 90 percent house senate, even institution trend ever lower public esteem. nowadays, people likely say congress need housecleaning includes member. yet alter fundamental reelection. bear mind, poll measure scientifically representative sample country. election depend selfselected miniminority populace actually go vote. tend hardcore base voter party. house, vast majority even locked district one party prayer winning november — thanks gerrymandering. so 113th stand historic high low annals congressional behavior? maybe ... 114th arrives.",1,center,NPR Online News,2014
impeachment trial: senator give speech explaining vote closing argument monday,2020-02-03,"(cnn) house impeachment manager president donald trump legal team took final shot monday pitch senator still fence president impeachment trial, even outcome foregone conclusion. the impeachment manager defense counsel made closing arguments, ahead final vote wednesday 4 p.m. et. senate poised acquit trump, conviction would require twothirds majority, still uncertainty margin vote — whether senator cross party lines. one possible fencecrossers, republican sen. lisa murkowski alaska, said senate floor monday evening would vote acquit president the endgame trial set week senate voted last week defeat motion subpoenaing witness documents, would extended proceedings. vote, failed 4951, two republicans, sens. mitt romney utah susan collins maine, joined democrats. in closing arguments, house intelligence chairman adam schiff acknowledged vote wouldnt remove president office. california democrat focused senate republican believe core house case — president withheld white house meeting $400 million security aid pressure ukraine investigate former vice president joe biden — charging must vote remove president. if find house proved (its) case still vote acquit, youll name tied cord steel history, schiff said, warning history kind donald trump. but find courage stand him, speak awful truth rank falsehood, place among david took goliath, say enough, added. one among say enough? the house impeachment manager detailed case also harkened back history, citing founding father alexander hamilton, president abraham lincoln poet novelist maya angelou. rep. jason crow, freshman colorado democrat, pointed quote harry potter character albus dumbledore said hung son bedroom: choice show truly are, far abilities. the president team argued house democrat insistent impeaching trump since president inaugurated january 2017. president personal attorney jay sekulow played video montage — backed soundtrack campaign ad — house lawmaker saying supported impeachment past three years. these type impeachment must end, said white house counsel pat cipollone. vindicate right vote, vindicate constitution, vindicate rule law rejecting articles. ask bipartisan basis week end era impeachment, all. after argument wrapped up, senator two day go floor explain votes. senator watch a handful senator party still said whether vote convict acquit president two article impeachment — abuse power obstruct congress — house passed december. on republican side, collins, romney murkowski eyed democrat possible crossovers. murkowski announced monday would vote acquit president, however, big surprise given also voted calling witnesses. in final floor speech day, murkowski criticized side house, senate president process thats culminated senate impeachment vote week. concluded could vote remove president office. i cannot vote convict. constitution provides impeachment demand instances, murkowski said. president name ballot already cast. voter pronounce verdict nine months. must trust judgment. murkowskis argument similar republican sen. lamar alexander tennessee, pivotal vote last week whether call witnesses. alexander said house proved case conduct impeachable. the president behavior shameful wrong, murkowski said monday. house failed responsibilities, senate, senate, ashamed rank partisanship display ... clear chamber approached genuinely open mind. among democrats, sens. joe manchin west virginia, doug jones alabama kyrsten sinema arizona seen possible crossovers. manchin took floor monday afternoon explain thinking, vote. i remain undecided vote, manchin said, explaining vote weighed heavily me. manchin praised case house made president, also bemoaned partisan nature impeachment failed get republican support house. proposed censure president would effective option — one could garner bipartisan majority. senator party monday dismissed censure alternative, manchin acknowledged would ultimately decide vote remove trump office. i truly struggling decision come conclusion reluctantly, said. jones said going listening closing argument decided do. im getting there, told reporter monday asked knew would vote. im going notes. im going everything, really want hear argument conversation colleagues. inside senate chamber monday, thing subdued previous week, fewer senator taking note eye wandering around room. during monday lunch break presentations, undeclared senator came together senate floor. sinema chatted sen. john thune, south dakota republican senate majority whip. two eventually joined conversation collins murkowski. unknown making small talk talking final vote — one point, murkowski could heard press gallery chamber making comment super bowl. at tail end lunch break, manchin murkowski whispered back forth manchins desk. when senate trial ended day, manchin spoke schiff several minutes. format result intense negotiation friday after monday closing arguments, senator began making speech explain vote publicly senate floor, welcome chance many senator barred speaking senate duration trial. senator able speak wednesday final vote. the setup result frantic negotiation friday mapping final stage impeachment trial. many republicans, particularly allied trump, wanted push end trial friday witness vote, even pushed final verdict middle night saturday. but several republicans, including collins murkowski, wanted chance speak explain votes. 1999 bill clinton impeachment trial, senate spent three day closed session deliberate. democrats, meanwhile, 2020 consideration — sens. elizabeth warren massachusetts, bernie sander vermont amy klobuchar minnesota eager spend weekend iowa. plus, werent interested allowing president acquitted ahead tuesday state union address. so two side agreed hold closing argument monday, 2020 candidate returned washington darting back iowa caucus wednesday evening. the trial wrapping without hearing former national security adviser john bolton, became key focal point witness debate allegation emerged draft book manuscript trump told aid ukraine conditioned investigations. but house could still pursue bolton afterward. schiff sought boltons testimony house impeachment inquiry last year, though pursue subpoena boltons lawyer threatened take court. schiff coy sunday whether pursue bolton again. i dont want comment point plan may may respect john bolton, say this: whether testimony house book one form another, truth come out, continue come out, schiff said cbs face nation. this story updated additional development monday.",0,left,CNN (Web News),2020
isi tried bomb base u.s. troop train iraqi force,2015-02-13,"isi force extremely close u.s. airbase, 320 marine training iraqi forces. using iraqi military uniforms, isi fighter tried infiltrate base execute suicide bomb attack, killed iraqi security forces. yet, proximity isi american military personnel fraught danger, especially president obama try get authorization use force resolution congress reject notion enduring offensive ground forces.” nevertheless, fact isi able continue offensive operation show airstrikes might effective, according washington post: the attack came day militant took control of baghdadi, town le five mile base, 320 u.s. service member training iraqi troop tribal fighters. u.s. force several kilometers” attack stage direct threat, statement said. still, targeting base hosting u.s. troop underscored risk american could drawn real engagement militant battlefield. … we readily admit alanbar contested region,” rear adm. john kirby, pentagon spokesman, said friday interview cnn. . . . huge, sprawling base, roughly size boulder, colorado,” minibases inside big base,” added. incident . . . happened nowhere near u.s. coalition force operating.” kirby said u.s. trainer advisers, there’s question they’re close danger.” even though ground combat mission, right defend themselves,” said. ever feel threat, certainly right, responsibility, obligation shoot back.” the capture baghdadi, remained militant control friday, also demonstrates continued ability islamic state stay attack despite coalition airstrikes talk looming counteroffensive major city held group, also known isis, isil and, arabic, daesh. u.s. official maintain militant largely defensive.",2,right,Townhall,2015
mueller probe close completed: acting u.s. attorney general,2019-01-29,"washington (reuters) special counsel robert mueller’s probe russian meddling 2016 u.s. election close wrapping up, acting u.s. attorney general matthew whitaker told reporter monday. i’ve fully briefed investigation look forward director mueller delivering final report,” said press conference u.s. charge china’s huawei technology co ltd. right investigation think close completed hope get report director mueller soon possible.” whitaker’s comment mark first time top government official knowledge investigation publicly confirmed probe final stages. medium outlet reported mueller’s office could close issuing final report investigation. but mueller tightlipped month closeddoor grand jury session criminal charge conclude, leaving question far white house probe reach happen findings. mueller’s investigation recently ensnared longtime confidant president donald trump, political operative roger stone. others trump’s orbit also charged probe, including trump’s former campaign manager, paul manafort, former campaign deputy, richard gates, former national security adviser, michael flynn. trump’s nominee fill attorney general post permanently, william barr, recently pledged make public much report possible, saying mueller required file confidentially. but barr declined pledge release mueller’s report entirety, saying portion might need remain confidential, decision charge certain individuals. russia denies wrongdoing 2016 election. trump repeatedly said involved collusion russia often referred probe witch hunt.” whitaker’s comment mueller investigation likely trigger inquiry democrat accused illegally appointed failing heed ethic advice suggesting recuse overseeing mueller investigation. he due appear house judiciary committee february 8, expected peppered question role mueller probe whether taken step narrow limit mueller investigate. whitaker installed acting attorney general november, trump ousted attorney general jeff sessions. file photo: special counsel robert mueller departs briefing u.s. house intelligence committee investigation potential collusion russia trump campaign capitol hill washington, u.s., june 20, 2017. reuters/aaron p. bernstein/file photo prior joining justice department sessions’ chief staff 2017, whitaker served conservative medium pundit made multiple comment raising skepticism mueller’s investigation. those comments, coupled whitaker’s friendship trump’s 2016 election cochair, sam clovis, raised question whether whitaker recuse himself. at monday’s press conference, whitaker publicly addressed question past statement mueller probe, saying made comment private citizen access publicly available information.",1,center,Reuters,2019
