title,date,content_original,bias,bias_text,source,year
political polarization driving force income inequality,2015-03-31,"once again, researcher found political polarization driving force income inequality. according study published journal elections, public opinion parties, two major american political party pretty good looking economically constituents, thats it. the partisan difference policy reflects redistributive difference policy’s consequence core constituent democratic republican parties,” study’s author concluded. democrat concerned unemployment, republican inflation wages, according study. result seesawing economic priority lead another pathway inequality transmitted.” the mounting polarization america may mean that, ever, attempt political leader pacify core supporter wind leaving others cold,” atlantic’s gillian b. white wrote response study. this isn’t first study make claims. princeton study looked voter partisanship income found 1956 1996, partisanship become stratified income.” in recent years, study argues, party affiliation often directly tied one’s tax bracket. voter vote economic interests, two party basically constant tugof war economy. another study, released last year federal reserve bank dallas, found various cause income inequality increased partisanship, two seem inextricably linked. both income inequality political polarization endogenous (or internal) variable feed back other,’ study concluded. while idea party polarization negatively impacting fight curb income inequality isn’t new, particularly novel, it’s important remember hasn’t always case. a three study referenced mention, polarization inequality began increase hyper speed starting 1970s. historically, party mixture rich poor constituent voted interests, maintaining economic balance much second half 20th century. that longer case, change isn’t economy favors. jj feinauer writer web producer deseret news national. email: jfeinauer@deseretdigital.com, twitter: jjfeinauer.",2,right,Deseret News,2015
senate unanimously pass massive coronavirus aid plan,2020-03-25,"washington (ap) — house give final approval friday massive $2.2 trillion economic rescue bill robust backing parties, speaker nancy pelosi said, vote would cap congress’ tumultuous effort rush relief nation battered coronavirus. pelosi spoke thursday morning, hour senate used overnight vote approve measure 960. house member dispersed around country, pelosi republican leader planning bless measure voice vote, probably sprinkling lawmaker present chamber. it pas strong bipartisan support,” said pelosi, dcalif. president donald trump implored lawmaker finish package sign law. the package come house fresh evidence emerges economy recession. government reported 3.3 million new weekly unemployment claims, four time previous record. federal reserve chairman jerome powell said tv interview economy may well recession.” pelosi praised bill’s expansion unemployment benefit provision encourage company hit pandemic keep paying workers, even furloughed. we victory tomorrow america’s workers,” said. somebody different point view, put record, we’re worried that.” the package would give direct payment americans, expand unemployment benefit provide $367 billion program small business keep making payroll worker forced stay home. would steer substantial aid larger industries, too. the unanimous senate vote late wednesday came despite misgiving side whether go far far enough capped day difficult negotiation washington confronted national challenge unlike faced. the 880page measure largest economic relief bill u.s. history. majority leader mitch mcconnell appeared somber exhausted announced vote — released senator washington april 20, though promised recall needed. pray one another, family country,” said mcconnell, rky. the legislation u historic meant match historic crisis,” said minority leader chuck schumer, dn.y. health care system prepared care sick. worker without work. business cannot business. factory lie idle. gear american economy ground halt.” the package intended relief sinking economy nation facing grim toll infection that’s killed 21,000 people worldwide. u.s. death toll surpassed 1,000 people. this unique situation,” powell told nbc’s today” show. typical downturn.” the fed chief went on: what’s happening people asked close businesses, stay home work engage certain kind economic activity they’re pulling back. certain point, get spread virus control time confidence return, business open again, people come back work.” underscoring effort’s sheer magnitude, bill finance response price tag equal half size entire $4 trillionplus annual federal budget. $2.2 trillion estimate white house’s best guess. the drive leader speed bill senate wednesday slowed four conservative republican senator state whose economy dominated lowwage job demanded changes. said legislation written generous worker like store clerk might opt stay unemployment rather return jobs. settled failed vote modify provision. wednesday’s delay followed democratic stalling tactic earlier week schumer held additional money state hospital provisions. the sprawling measure third coronavirus response bill produced congress far largest. build effort focused vaccine emergency response, sick family medical leave worker food aid. house majority leader steny hoyer, dmd., said earlier expected measure pas voice vote without lawmaker return washington. house republican leader kevin mccarthy said thursday member board that. we’ll debate, we’ll voice vote bring move president’s desk,” mccarthy told fox news. said democrat inserted thing bill didn’t deal coronavirus, ”we still get package done hospitals, workers, small businesses.” every day matters, want get done quickly,” mccarthy said. the package heavily negotiated $500 billion program guaranteed, subsidized loan larger industries, including airlines. hospital would get significant help well. the bill would provide onetime direct payment american $1,200 per adult making $75,000 year $2,400 married couple making $150,000, $500 payment per child. a huge cash infusion hospital expecting flood covid19 patient grew talk estimated $130 billion. another $45 billion would fund additional relief federal emergency management agency local response effort community services. democrat said package would help replace salary furloughed worker four months, rather three month first proposed. furloughed worker would get whatever amount state usually provides unemployment, plus $600perweek addon, gig worker like uber driver covered first time. business controlled member congress top administration officials, including trump immediate family members, would ineligible bill’s business assistance. state local authority would receive $150 billion grant fight virus, care resident provide basic services. full coverage: virus outbreak republican inclusion employee retention tax credit that’s estimated provide $50 billion company retain employee payroll cover 50% workers’ paycheck $10,000. company would also able defer payment 6.2% social security payroll tax. pelosi force behind $400 million grant state expand voting mail step democrat billed making voting safer republican critic called political opportunism. package also contains $15.5 billion surge demand food stamp part massive $330 billion title agency operations. most people contract new coronavirus mild moderate symptoms, fever cough clear two three weeks. some, especially older adult people existing health problems, cause severe illness, including pneumonia, death. in united states, 69,000 people sickened virus. ___ associated press writer matthew daly, mary clare jalonick, ricardo alonsozaldivar padmananda rama contributed report.",1,center,Associated Press,2020
"opinion: obama shed clark kent demeanor, try superman costume",2014-12-18,"(cnn) case havent noticed, president obama flexing executive muscle lately. paper, headscratcher. all, lost control senate last election. popularity hovering near alltime low. and, course, he lame duck. only one seems told him. it shed clark kentish demeanor flamboyant cape. he superman, sure, he spending awful lot time lately trying get ground. so, suffering political shellacking, he showing still muscle, using executive authority everywhere belief can. president bill clinton famously declared relevance, month losing control house 1994. obama, hand, literally leaping unilateral action: immigration! climate change! regulating internet! cuba! im energized, said buoyant president yearend press conference, friday. im excited prospect next couple years. im certainly going stopping minute... translation: new, alldrama obama. pentup energy, ambition action, barely two month losing control senate. anyone would become annoyed frustrated accused wuss, say senior democratic policy adviser. always better offense defense. it wasnt exactly state secret obama lot todo list election. thinking, according knowledgeable source: felt constrained frustrated tactical responsibility democrat trouble. dont rock boat. dont make democrat take hard votes. dont even campaign red states. didnt. and, turn out, restraint helped one whit. so now, clock ticking, he moved party cheerleader head executive branch. katiebarthedoor, without congress. press conference today, president strongly hinted veto keystone xl pipelineso take republican redstate democrats. want tax reform, too. ti season presidential list, he checking twice legacy looms. everything redefines notion lame duck. but here flurry activity also defines: 2016 presidential race. forcing cuba issue front center, instance, republican presidential wannabe respond. so, too, obamas move immigration. sort new test conservative loyalty created moves. candidate could find pushed direction might otherwise go. for instance, parse difference republican prepresidential candidate marco rubio, jeb bush rand paul obamas cuba deal. rubio called president single worst negotiator white house lifetime. bush like deal, stopped short namecalling. dont think negotiating repressive regime, bush said long way rubios accusation president willfully ignorant naïve. rand paul went even obamas direction, saying, opening cuba probably good idea. in appealing younger cubanamerican demographic, obama making republican choose sides. he gambling number him. eventually, democrat same. obamas audacity turn misdirected, hillary clinton explain likely defend it. he proactive enough, elizabeth warren wing party react. it cliché presidential campaign generally defined president served before. barack obama actively making sure thats case. but there one caveat new, muscular, proactive obamaworld: might lead higher expectations. exactly obama began faded. read cnnopinions new flipboard magazine. follow u twitter @cnnopinion. join u facebook/cnnopinion.",0,left,CNN (Web News),2014
opinion: debunking donald trump latest conspiracy theory google,2018-08-28,"(cnn) playbook, now, familiar. faced negative story story president donald trump us twitter feed float conspiracy theory sort designed distract deflect. on tuesday, weathering selfinflicted wound caused unwillingness acknowledge meaningful way death late sen. john mccain, trump took twitter 5:24 a.m. send message google search result trump news show viewing/reporting fake new media. words, rigged, & others, almost story & news bad. fake cnn prominent. republican/conservative & fair medium shut out. illegal? 96% result trump news national leftwing media, dangerous. google & others suppressing voice conservative hiding information news good. controlling & cannot see. serious situationwill addressed! so. president united state alleging broadscale conspiracy filter news largest search engine world. evidence? type trump news google, produce viewing/reporting fake news media. her conclusion: i expected see skewing result based extensive experience google, prepared blatant prioritization leftleaning antitrump medium outlets. looking first page search results, discovered cnn big winner, scoring two first ten results. leftleaning site appeared first page cbs, atlantic, cnbc, new yorker, politico, reuters, usa today (the last two outlet list could arguably considered centrist others). not single rightleaning site appeared first page search results. i replicated search trump news. here first page result looked like: the first story abc news, second fox, third cnbc. according attkisson model, thats two liberal publication one conservative one. there problem pj medium piece attkisson medium chart based. first, attkissons medium bias chart exactly objective measure journalistic fairness integrity. every major mainstream medium outlet country cnn new york time washington post bloomberg cast leftleaning. infowars, alex jones conspiracy website, placed centerright. conservative agree. im going convince them. but, believe infowars editorial process get something published washington post, guarantee wrong. second, bolyard make clear google search engine work zero publication ideology. writes: google secretive algorithm, although company say variety factor — around 200 them, according google — go page ranked. fact, whole science developed — called search engine optimization (seo) — purport help site become visible google search results. factor relevance topic, design website, internal external links, way article written formatted affect site google traffic. google constantly tweaking algorithm, website traffic prospect rise fall depending changes. pj medias google search traffic, example, dropped precipitously may 2017 algorithm change. yet recover lost traffic. conservative site reported similar drop traffic. what bolyard suggesting dont know algorithm google us populate news tab, possible could purposely editing conservative sites. cant rule out, one say shes suggesting isnt true. (id point lot lot smart piece google news algorithm work little ideology.) this essence conspiracy theories: cant prove beyond shadow doubt wrong, might right! best conspiracy theory perfect machine regard; attempt debunk a) necessarily come short definitive proof cannot exist b) act attempting debunk seen surefire sign conspiracy! a google spokesperson responded tuesday trump tweet, saying statement: user type query google search bar, goal make sure receive relevant answer matter seconds. search used set political agenda dont bias result toward political ideology. the statement continues: every year, issue hundred improvement algorithm ensure surface highquality content response user queries. continually work improve google search never rank search result manipulate political sentiment. whats remarkable even bolyards attempt prove point, provides insight fundamentally undermines it. performed search multiple time using different computer (registered different users) google returned similar results, writes. scientific, result suggest pattern bias rightleaning content. ... scientific. thats like saying, im doctor medical training, pretty sure going die next week. thanks opinion but, like, opinion. expert opinion. one with, know, science methodology behind it. what president united state peddling 54 million twitter followers, then, anecdote hung flawed analysis medium partisanship. conclusion bolyards piece draw entirely based believed going investigation. every major medium outlet country biased, google us size medium outlet frequency cited source search algorithm (and does!), voila, search conducted via google biased. like said: conspiracy theory pervasive many simply impossible prove false. which, course, doesnt make true.",0,left,CNN - Editorial,2018
obama: hillary clinton’s personal email mistake didn’t endanger u.s.,2015-10-11,"president barack obama, shown thensecretary state hillary clinton september 2012, said sunday mrs. clinton personal email setup didnt endanger national security. photo associated press president barack obama said former secretary state hillary clinton use personal email server mistake, u.s. national security hadn’t endangered. in first extensive remark controversy roiled democratic presidential primary, mr. obama said cbs’s 60 minutes” program sunday question mrs. clinton email arrangement legitimate. it important answer question satisfaction american public, mr. obama told cbss steve kroft. when offices, sensitive stay far away line possible come handle information, handle personal data. and, know, made mistake. acknowledged it, president said. at same, mr. obama said email arrangement didn’t put u.s. risk said issue politicized. the fact last three month thats spoken indication presidential political season, said. tell situation america national security endangered.” while secretary state, mrs. clinton used personal email account run email server. critic say action made public record request difficult may left sensitive national security information vulnerable hackers. mrs. clinton said state department rule didn’t forbid use personal email account. democrat said congressional investigation mrs. clinton become increasingly partisan. fbi also investigating. on sunday, republican former staffer house select committee benghazi, investigating mrs. clinton’s email practice broader inquiry 2012 attack u.s. diplomatic post libya, said investigation become overly political focused entirely mrs. clinton emails. maj. bradley podliska, intelligence officer air force reserve, said lost job investigator committee partly resisted pressure focus investigation mrs. clinton state department’s role attacks.",1,center,Wall Street Journal - News,2015
grumbling boehnerspeakership mutiny,2013-01-02,"a rough twomonth stretch left speaker john a. boehner facing nascent rebellion within party ahead vote whether continue lead house 113th congress convenes thursday. no challenger stepped forward wednesday evening, multiple lawmaker attending evening conference meeting said rumbling discontent within republican ranks. growing complaint signal rocky road ohio republican month ahead try negotiate debt spending fight likely dominate next two years. the speakership vote dramatic recent memory dominate opening day 113th congress, republican retain slimmeddown majority house democrat expand majority senate. addition spending, congress expected debate immigration, gun control broad tax reform. republican enter session trying regroup particularly brutal two week mr. boehner, whose party killed plan b” solution fiscal cliff.” turn democrat pas deal worked white house senate minority leader mitch mcconnell, kentucky republican. nearly twothirds house republican voted deal, said betrayal conservative principle even allow come vote. congressman boehner signed country fiscal suicide pact,” said one incoming congressman, rep.elect steve stockman texas, said one reason vote mr. boehner speaker. mr. stockman, former lawmaker returning congress 16year absence, say alternative would be. denying mr. boehner speakership would require defection least 17 house republican thursday, congress member sworn vote next speaker. one pressure group, american majority action, said late wednesday thought enough republican prepared vote mr. boehner force resign. however, group renegade republican would vote consistently ballot ballot speaker alternative stepped forward, sign happening wednesday evening. mr. boehner met late wednesday member conference vote house rules, rep. phil gingrey, conservative georgia republican, said afterward one spoke speaker gathering. there discontent meeting,” told reporter rumor republican challenge mr. boehner’s speakership. i’ve heard bit piece that, there’s something going on, i’m part it.” house majority leader eric cantor, virginia republican man many thought might challenge mr. boehner, backing him, said cantor aide noted mr. boehner mr. cantor walked republican conference meeting together sign solidarity. but mr. cantor another top lieutenant, house majority whip kevin mccarthy, voted week’s cliff deal, mr. boehner new house republican conference chairwoman cathy mcmorris rodgers voted it. the vote, coupled failure plan b, left mr. boehner wounded. still, wellliked within republican caucus, many rankandfile lawmaker voted cliff deal said reflection speaker. speaker boehner leadership deserve tremendous amount credit done effort solve problem avert fiscal cliff,” said rep. marsha blackburn, tennessee republican. unfortunately, president obama senate majority leader harry reid shown willingness address real root problem — washington’s outofcontrol spending.” rep. tom cole, oklahoma republican, appeared perfectly comfortable wednesday evening idea mr. boehner would keep spot. i don’t sense much way organized opposition,” said. plenty conservative supporting speaker. won’t kind split.” mr. cole pointed mr. boehner party’s helm took control chamber 2010 maintained majority 2012 elections. think reserve good very, deep,” said. after meeting, mr. cole said speaker asking member vote — would possible sign insecurity fear rebellion — added he’d shocked” significant number” republican didn’t vote mr. boehner. this diverse conference — lot strong opinion lot principled people, there’s going difference time time. john boehner manages exceptionally well, don’t sense largescale dissatisfaction leadership,” said. still, mr. boehner felt wrath party sent lawmaker home wednesday without passing emergency spending bill superstorm sandy relief. republican new york new jersey blasted move, one, rep. peter t. king, even told wealthy new york donor contribute party. rep. michael g. grimm, represents hardhit area staten island, voted cliff deal tuesday praised mr. boehner leadership immediately vote. but wednesday morning, clear vote sandy aid would come up, mr. grimm laced speaker floor speech considered voting thursday. after meeting wednesday afternoon, mr. boehner mr. cantor said passing sandy spending would top priority new congress, lawmaker northeast said mr. boehner would retain support. mr. boehner also took heat several conservative booted committee assignment ahead new congress. leadership aide said men ousted weren’t team players, lawmaker outside pressure group said seemed punished conservative voting records. rep. tim huelskamp, kansa republican one member lost committee spot, coy asked whether would vote mr. boehner speaker. we’ll find tomorrow,” said wednesday evening ducked back conference meeting. • sean lengell contributed report. sign daily newsletter manage newsletter copyright © 2019 washington times, llc. click reprint permission.",2,right,Washington Times,2013
sequestration threat america?s vulnerable,2013-03-08,"the labor market continued improve last month, according bureau labor statistics. february, economy added 236,000 job unemployment rate edged 7.7 percent. last twelve months, private sector added 2.1 million jobs; contrast, employment state, local, federal government declined 100,000 jobs. despite progress, million american still experiencing effect great recession; indeed, many worker suffered protracted period joblessness lower wages. range government safetynet program assisted american found struggling weak economy. recent budget cuts, notably sequestration went effect march 1, threaten weaken social safety net even employment remains far prerecession levels. in month’s employment analysis, hamilton project look current poverty trend united states, important role government support programs, sequestration could damage critical aspect safety net midst continued labormarket weakness. also continue explore job gap,” number job u.s. economy need create order return prerecession employment levels. a look america’s poverty rate according official poverty rate measured u.s. census bureau, 12.5 percent american lived poverty 2007, prior start great recession, figure slightly poverty rate 1980. wake recession, official poverty rate increased significantly, reaching 15.1 percent 2010—its highest level recent decades—and remained elevated level 2011. first glance, then, might appear nation made little progress—or even gone backwards—in fighting war poverty, official rate doesn’t tell whole story. some expert argue official rate inaccurate measure wellbeing lowincome american omits effect tax many antipoverty program provide valuable support lowincome american families. 2008 discussion paper hamilton project, rebecca blank mark greenberg explain official poverty rate flawed could improved. blank greenberg advocate using alternative measure poverty, developed national academy science (nas) 1990s. na rate account change cost good food—notably, health care—and make different adjustment family size inflation. importantly, official poverty rate considers family’s pretax money income, na measure also account tax credit noncash benefit like earned income tax credit (eitc), child tax credit, housing stipends, energy assistance, food nutrition program like supplemental nutrition assistance program (snap, formerly food stamps). the graph below, based measure recent paper bruce meyer james sullivan, illustrates difference two poverty metrics. a frequent criticism antipoverty program incentivize people work less, turn raise official poverty rate. certain programs, unemployment insurance, may effect individual (although evidence suggests effect large), bruce meyer dan rosenbaum nada eissa jeffrey liebman shown key antipoverty program like eitc actually provide strong work incentives. overall effect antipoverty program official poverty rate is, therefore, ambiguous, clear government program greatly reduced moreaccurate na poverty rate. the role policy alleviating poverty the striking fact graph that, since 1990s, na poverty rate fallen significantly 3.4 percentage point official measure 2010. human terms, mean 10 million fewer people living poverty line, according na rate. intuitively, make sense: development expansion effective antipoverty program like eitc, expansion health insurance lowincome child families, recent temporary expansion safety net great recession reduced number american living poverty time. what’s more, temporary recovery measure policymakers enacted recession cushioned family devastating effect weak economy. many current antipoverty programs, therefore, real positive impact reflected official poverty statistics. many american still living poverty, even family would struggle get absence support program enacted expanded past three decades. despite success policy assisting atrisk families, program scaled back significantly result march 1 sequestration. center budget policy priorities, instance, estimate extended unemployment benefit enacted recession kept 3.4 million american poverty line 2010 alone. yet sequestration, extended unemployment benefit cut almost 10 percent. longerterm safetynet program important reducing na poverty rate recent years—including housing voucher lowincome american special supplemental nutrition program women, infants, child (wic)—will also reduced. sequestration, therefore, could disproportionately negative impact american need assistance recovering recession. recently, hamilton project released 15 way rethink federal budget, report including range proposals—written expert many policy political backgrounds—for reducing deficit progrowth policy hinder united states’ recovery efforts. progress improving deficit labormarket situation last years, clear work remains done help many american family transition back full employment. the february job gap a february, nation face job gap” 10.2 million jobs. chart show job gap evolved since start great recession december 2007, long take close different assumption job growth. solid line show net number job lost since great recession began. broken line track long take close job gap alternative assumption rate job creation going forward. if economy add 208,000 job per month, average monthly rate best year job creation 2000s, take april 2020 close job gap. given optimistic rate 321,000 job per month, average monthly rate best year job creation 1990s, economy reach prerecession employment level november 2016. also try interactive job gap calculator clicking view job gap chart state here. conclusion although poverty—by measure—has increased since beginning recession 2007, evidence suggests many antipoverty program enacted past several decade federal government’s response recession played important role keeping many american family poverty line. indeed, much work remains done supporting lowincome families, nation’s social safety net successful past decade giving many american support need get ahead. sequestration threatens throw many american family back poverty economic recovery cutting program helping stay water. in coming months, hamilton project continue look trend poverty federal government provide lowincome american opportunity become selfsufficient succeed. increasing access postsecondary education increasing incentive work, many way government reduce poverty way promotes broad economic growth. pursuing policy improve life million american strengthen economy.",1,center,Brookings Institution,2013
impeachment trial: senator give speech explaining vote closing argument monday,2020-02-03,"(cnn) house impeachment manager president donald trump legal team took final shot monday pitch senator still fence president impeachment trial, even outcome foregone conclusion. the impeachment manager defense counsel made closing arguments, ahead final vote wednesday 4 p.m. et. senate poised acquit trump, conviction would require twothirds majority, still uncertainty margin vote — whether senator cross party lines. one possible fencecrossers, republican sen. lisa murkowski alaska, said senate floor monday evening would vote acquit president the endgame trial set week senate voted last week defeat motion subpoenaing witness documents, would extended proceedings. vote, failed 4951, two republicans, sens. mitt romney utah susan collins maine, joined democrats. in closing arguments, house intelligence chairman adam schiff acknowledged vote wouldnt remove president office. california democrat focused senate republican believe core house case — president withheld white house meeting $400 million security aid pressure ukraine investigate former vice president joe biden — charging must vote remove president. if find house proved (its) case still vote acquit, youll name tied cord steel history, schiff said, warning history kind donald trump. but find courage stand him, speak awful truth rank falsehood, place among david took goliath, say enough, added. one among say enough? the house impeachment manager detailed case also harkened back history, citing founding father alexander hamilton, president abraham lincoln poet novelist maya angelou. rep. jason crow, freshman colorado democrat, pointed quote harry potter character albus dumbledore said hung son bedroom: choice show truly are, far abilities. the president team argued house democrat insistent impeaching trump since president inaugurated january 2017. president personal attorney jay sekulow played video montage — backed soundtrack campaign ad — house lawmaker saying supported impeachment past three years. these type impeachment must end, said white house counsel pat cipollone. vindicate right vote, vindicate constitution, vindicate rule law rejecting articles. ask bipartisan basis week end era impeachment, all. after argument wrapped up, senator two day go floor explain votes. senator watch a handful senator party still said whether vote convict acquit president two article impeachment — abuse power obstruct congress — house passed december. on republican side, collins, romney murkowski eyed democrat possible crossovers. murkowski announced monday would vote acquit president, however, big surprise given also voted calling witnesses. in final floor speech day, murkowski criticized side house, senate president process thats culminated senate impeachment vote week. concluded could vote remove president office. i cannot vote convict. constitution provides impeachment demand instances, murkowski said. president name ballot already cast. voter pronounce verdict nine months. must trust judgment. murkowskis argument similar republican sen. lamar alexander tennessee, pivotal vote last week whether call witnesses. alexander said house proved case conduct impeachable. the president behavior shameful wrong, murkowski said monday. house failed responsibilities, senate, senate, ashamed rank partisanship display ... clear chamber approached genuinely open mind. among democrats, sens. joe manchin west virginia, doug jones alabama kyrsten sinema arizona seen possible crossovers. manchin took floor monday afternoon explain thinking, vote. i remain undecided vote, manchin said, explaining vote weighed heavily me. manchin praised case house made president, also bemoaned partisan nature impeachment failed get republican support house. proposed censure president would effective option — one could garner bipartisan majority. senator party monday dismissed censure alternative, manchin acknowledged would ultimately decide vote remove trump office. i truly struggling decision come conclusion reluctantly, said. jones said going listening closing argument decided do. im getting there, told reporter monday asked knew would vote. im going notes. im going everything, really want hear argument conversation colleagues. inside senate chamber monday, thing subdued previous week, fewer senator taking note eye wandering around room. during monday lunch break presentations, undeclared senator came together senate floor. sinema chatted sen. john thune, south dakota republican senate majority whip. two eventually joined conversation collins murkowski. unknown making small talk talking final vote — one point, murkowski could heard press gallery chamber making comment super bowl. at tail end lunch break, manchin murkowski whispered back forth manchins desk. when senate trial ended day, manchin spoke schiff several minutes. format result intense negotiation friday after monday closing arguments, senator began making speech explain vote publicly senate floor, welcome chance many senator barred speaking senate duration trial. senator able speak wednesday final vote. the setup result frantic negotiation friday mapping final stage impeachment trial. many republicans, particularly allied trump, wanted push end trial friday witness vote, even pushed final verdict middle night saturday. but several republicans, including collins murkowski, wanted chance speak explain votes. 1999 bill clinton impeachment trial, senate spent three day closed session deliberate. democrats, meanwhile, 2020 consideration — sens. elizabeth warren massachusetts, bernie sander vermont amy klobuchar minnesota eager spend weekend iowa. plus, werent interested allowing president acquitted ahead tuesday state union address. so two side agreed hold closing argument monday, 2020 candidate returned washington darting back iowa caucus wednesday evening. the trial wrapping without hearing former national security adviser john bolton, became key focal point witness debate allegation emerged draft book manuscript trump told aid ukraine conditioned investigations. but house could still pursue bolton afterward. schiff sought boltons testimony house impeachment inquiry last year, though pursue subpoena boltons lawyer threatened take court. schiff coy sunday whether pursue bolton again. i dont want comment point plan may may respect john bolton, say this: whether testimony house book one form another, truth come out, continue come out, schiff said cbs face nation. this story updated additional development monday.",0,left,CNN (Web News),2020
isi tried bomb base u.s. troop train iraqi force,2015-02-13,"isi force extremely close u.s. airbase, 320 marine training iraqi forces. using iraqi military uniforms, isi fighter tried infiltrate base execute suicide bomb attack, killed iraqi security forces. yet, proximity isi american military personnel fraught danger, especially president obama try get authorization use force resolution congress reject notion enduring offensive ground forces.” nevertheless, fact isi able continue offensive operation show airstrikes might effective, according washington post: the attack came day militant took control of baghdadi, town le five mile base, 320 u.s. service member training iraqi troop tribal fighters. u.s. force several kilometers” attack stage direct threat, statement said. still, targeting base hosting u.s. troop underscored risk american could drawn real engagement militant battlefield. … we readily admit alanbar contested region,” rear adm. john kirby, pentagon spokesman, said friday interview cnn. . . . huge, sprawling base, roughly size boulder, colorado,” minibases inside big base,” added. incident . . . happened nowhere near u.s. coalition force operating.” kirby said u.s. trainer advisers, there’s question they’re close danger.” even though ground combat mission, right defend themselves,” said. ever feel threat, certainly right, responsibility, obligation shoot back.” the capture baghdadi, remained militant control friday, also demonstrates continued ability islamic state stay attack despite coalition airstrikes talk looming counteroffensive major city held group, also known isis, isil and, arabic, daesh. u.s. official maintain militant largely defensive.",2,right,Townhall,2015
covid19 task force: trump never ordered u slow testing,2020-06-23,"president trump never ordered coronavirus task force slow testing pathogen, key member told congress tuesday. none u ever told slow testing. fact,” dr. anthony fauci, director national institute allergy infectious diseases, testified house energy commerce committee. it’s opposite, we’re going testing, less,” dr. fauci said. one one, head center disease control prevention food drug administration brett giroir, country’s testing czar,” told lawmaker ordered mr. trump slow diagnostic efforts. the way able understand disease, infected pas it, appropriate contact tracing test appropriately, smartly many people can,” testified adm. giroir, assistant health secretary fourstar admiral u.s. public health service. mr. trump’s remark sparked unusual round questioning. told tulsa rally testing doubleedged sword root cases, also make country look bad large number infection posted global tracking sites. he said told people slow testing down, please.” his aide said joking, though president fanned flame tuesday saying: don’t kid.” the u.s. home 330 million people. conducted 25 million test discovered 2.3 million infections. 120,000 people u.s. died disease, known covid19. dr. fauci said america looking mixed bag” juncture pandemic. it’s serious situation. respect we’ve done well,” dr. fauci said, citing improvement hardhit new york city. in area country, we’ve seeing disturbing surge infections,” added, citing flareups florida, texas arizona. mr. trump headed arizona tuesday view section border wall speak conservative student phoenix. roughly 20% tested arizona coming back positive, suggesting rampant spread state reopened economy. dr. fauci said state seeing spike need devote manpower testing tracing cases, something them.” governor battered new case say many infection hitting younger adult unlikely die disease. rep. diana degette, colorado democrat, asked whether people link declining death rate u.s. trend. dr. fauci said it’s difficult say, since death don’t show data week case detected. i think it’s early make kind link,” dr. fauci said. death always lag considerably behind cases.” he said concern people involved localized spike infect people, might get sick die. committee chairman frank pallone said american testing virus stumbled gate appears improving. still, said country short 900,000 daily test expert say needs. we also hampered administration’s refusal develop implement national testing contact tracing strategy,” mr. pallone, new jersey democrat, said. cannot continue — need federal public health expert take leadership role, administration failing allow that.” adm. giroir said u.s. able conduct 4050 million per month fall. he said test site required report demographic data, ensure equitable access, morehouse school medicine awarded $40 million threeyear project deliver covid19 information minority communities. prior testimony, mr. trump complained didn’t get amount credit famous taskforce member. we great job coronavirus, including early ban china, ventilator production, testing, far most, best, world. saved million u.s. lives.! yet fake news refuse acknowledge positive way,” wrote series tweet way arizona. but give dr. anthony fauci, u ways, high 72% approval rating. so, charge along v.p. etc., u really good things, doesn’t lamestream medium treat u should? answer: fake news!” sign daily newsletter manage newsletter copyright © 2020 washington times, llc. click reprint permission.",2,right,Washington Times,2020
