title,date,content_original,bias,bias_text,source,year
senate unanimously pass massive coronavirus aid plan,2020-03-25,"washington (ap) — house give final approval friday massive $2.2 trillion economic rescue bill robust backing parties, speaker nancy pelosi said, vote would cap congress’ tumultuous effort rush relief nation battered coronavirus. pelosi spoke thursday morning, hour senate used overnight vote approve measure 960. house member dispersed around country, pelosi republican leader planning bless measure voice vote, probably sprinkling lawmaker present chamber. it pas strong bipartisan support,” said pelosi, dcalif. president donald trump implored lawmaker finish package sign law. the package come house fresh evidence emerges economy recession. government reported 3.3 million new weekly unemployment claims, four time previous record. federal reserve chairman jerome powell said tv interview economy may well recession.” pelosi praised bill’s expansion unemployment benefit provision encourage company hit pandemic keep paying workers, even furloughed. we victory tomorrow america’s workers,” said. somebody different point view, put record, we’re worried that.” the package would give direct payment americans, expand unemployment benefit provide $367 billion program small business keep making payroll worker forced stay home. would steer substantial aid larger industries, too. the unanimous senate vote late wednesday came despite misgiving side whether go far far enough capped day difficult negotiation washington confronted national challenge unlike faced. the 880page measure largest economic relief bill u.s. history. majority leader mitch mcconnell appeared somber exhausted announced vote — released senator washington april 20, though promised recall needed. pray one another, family country,” said mcconnell, rky. the legislation u historic meant match historic crisis,” said minority leader chuck schumer, dn.y. health care system prepared care sick. worker without work. business cannot business. factory lie idle. gear american economy ground halt.” the package intended relief sinking economy nation facing grim toll infection that’s killed 21,000 people worldwide. u.s. death toll surpassed 1,000 people. this unique situation,” powell told nbc’s today” show. typical downturn.” the fed chief went on: what’s happening people asked close businesses, stay home work engage certain kind economic activity they’re pulling back. certain point, get spread virus control time confidence return, business open again, people come back work.” underscoring effort’s sheer magnitude, bill finance response price tag equal half size entire $4 trillionplus annual federal budget. $2.2 trillion estimate white house’s best guess. the drive leader speed bill senate wednesday slowed four conservative republican senator state whose economy dominated lowwage job demanded changes. said legislation written generous worker like store clerk might opt stay unemployment rather return jobs. settled failed vote modify provision. wednesday’s delay followed democratic stalling tactic earlier week schumer held additional money state hospital provisions. the sprawling measure third coronavirus response bill produced congress far largest. build effort focused vaccine emergency response, sick family medical leave worker food aid. house majority leader steny hoyer, dmd., said earlier expected measure pas voice vote without lawmaker return washington. house republican leader kevin mccarthy said thursday member board that. we’ll debate, we’ll voice vote bring move president’s desk,” mccarthy told fox news. said democrat inserted thing bill didn’t deal coronavirus, ”we still get package done hospitals, workers, small businesses.” every day matters, want get done quickly,” mccarthy said. the package heavily negotiated $500 billion program guaranteed, subsidized loan larger industries, including airlines. hospital would get significant help well. the bill would provide onetime direct payment american $1,200 per adult making $75,000 year $2,400 married couple making $150,000, $500 payment per child. a huge cash infusion hospital expecting flood covid19 patient grew talk estimated $130 billion. another $45 billion would fund additional relief federal emergency management agency local response effort community services. democrat said package would help replace salary furloughed worker four months, rather three month first proposed. furloughed worker would get whatever amount state usually provides unemployment, plus $600perweek addon, gig worker like uber driver covered first time. business controlled member congress top administration officials, including trump immediate family members, would ineligible bill’s business assistance. state local authority would receive $150 billion grant fight virus, care resident provide basic services. full coverage: virus outbreak republican inclusion employee retention tax credit that’s estimated provide $50 billion company retain employee payroll cover 50% workers’ paycheck $10,000. company would also able defer payment 6.2% social security payroll tax. pelosi force behind $400 million grant state expand voting mail step democrat billed making voting safer republican critic called political opportunism. package also contains $15.5 billion surge demand food stamp part massive $330 billion title agency operations. most people contract new coronavirus mild moderate symptoms, fever cough clear two three weeks. some, especially older adult people existing health problems, cause severe illness, including pneumonia, death. in united states, 69,000 people sickened virus. ___ associated press writer matthew daly, mary clare jalonick, ricardo alonsozaldivar padmananda rama contributed report.",1,center,Associated Press,2020
"mcmaster: trump better without bannon, others pushed ‘own narrow agendas’",2017-09-17,"national security adviser h.r. mcmaster said sunday president trump’s united nation speech focus promoting protecting american prosperity suggested white house’s national security council better removed adviser steve bannon others pushed narrow agendas.” the national security council, think, served president well bringing multiple options. tried operate outside process narrow agendas. didn’t serve president well,” mcmaster told fox news sunday,” response question policy clash bannon. mcmaster, shortly becoming white house national security adviser february, removed bannon official member council. bannon ousted last month president’s top political adviser, retired marine corp gen. john kelly became trump’s chief staff. others removed council include intelligence expert ezra cohenwatnick retired army lt. gen. michael flynn. flynn forced resign winter national security adviser amid investigation whether others trump presidential campaign colluded russia influence 2016 white house race. the administration better serve president integrating coordinating across department agency … present president multiple options,” mcmaster also said sunday. what’s important inclusive process … try advance agenda.” he also tried downplay idea bannon, apparently disagrees socalled globalists” trump’s inner circle, concern. i think hyped one individual,” said. report feuding, didn’t happen.” mcmaster also said trump’s scheduled speech tuesday united nation general assembly new york tremendous opportunity reach world leaders.” he said president’s speech focus themes: protecting american people, promoting american prosperity promoting accountability sovereignty. those three theme allow communicate vision america’s role world,” mcmaster said. he also clarified comment last week united state run road” trying negotiate north korean leader kim jong un ending pursuit nuclear arsenal. we road past approach taken problem north korea kim regime decade enter long drawnout negotiation deliver unsatisfactory agreement agreement north korean regime breaks,” said.",2,right,Fox Online News,2017
"newt gingrich see major mideast mistakes, rethink neocon view intervention",2013-08-04,"former house speaker newt gingrich, leading neoconservative hawk staunch supporter israel, say u.s. military intervention long supported promote democracy middle east elsewhere backfired need reevaluated. i neoconservative. point, even neoconservative, need take deep breath ask strategy middle east succeeded,” 2012 republican presidential hopeful said interview. mr. gingrich supported u.s. invasion iraq afghanistan, said increasingly doubted strategy attempting export democracy force country religion culture hospitable western values. it may capacity export democracy lot limited thought,” said. mr. gingrich time expressed doubt u.s. capacity nationbuilding, said formed conclusion failure light experience past decade. my worry new,” mr. gingrich said. willingness reach conclusion new.” mr. gingrich said time republican heed antiinterventionist idea offered libertarianminded sen. rand paul, kentucky republican, sen. ted cruz, texas republican, tea party favorite foreign policy skeptic. i think would healthy go back wargame alternative strategy would better, like ted cruz rand paul talking this,” mr. gingrich said. mr. paul, longtime critic neoconservative foreign policy, argues war must last resort never used nationbuilding. in june 24 column washington times, mr. paul wrote american told many year radical taliban would return power quickly unless u.s. force remained afghanistan. well, guess what, 12 years, trillion dollars, 2,200 american killed, perhaps 50,000 dead afghan civilian fighters, taliban coming back anyway!” mr. paul wrote. he noted similar pattern radical resurgence iraq american force withdrew. a far back december 2003, mr. gingrich questioning followup successful u.s. invasion. i proud [operation iraqi freedom commander gen.] tommy frank — moment deciding transfer power iraqis. go cliff,” told newsweek magazine. said point ‘how many enemy kill?’, [but] ‘how many ally grow?’” he also noted past wariness u.s. military interventions, often telling audience could directly guarantee democracy iraq stay day longer needed korea.” korea 63year engagement,” added laugh. mr. gingrich argued le two year ago president obama quietly tried push” egyptian president hosni mubarak office. but question whether even u.s. indirect intervention egypt back overthrow longtime egyptian leader u.s. ally might mistake. here’s simple question: ‘is egypt really better going back mubarak since it’s hard argue muslim brotherhood’s dictatorship better mubarak?’” mr. gingrich said. the former speaker added u.s. military action syria would risk repeat interventionist foreign policy mistakes. i explicitly would go syria,” said. would look whole question think government countries,” said. he said result may another military dictatorship egypt would better rule democratically elected muslim brotherhood. it’s hard argue chaos syria, iraq, libya lebanon make better future,” mr. gingrich said. the fear many united state israel arab spring bringing westernstyle democracy simply replacing secular authoritarian militantly islamic religious government hostile israel u.s., said. i certainly would allied 1970s 1980s strategy intervention defeating soviet union, definitely reflection point conservative republican party leader approached major national security questions,” mr. gingrich said. alone asking question: ‘are making progress arab spring?’” a top official george w. bush administration, oversaw iraq afghanistan campaign occupations, offered partial agreement mr. gingrich. people want know gingrich really changed opinion — point view — make impact,” said former bush political director matt schlapp. there plenty conservative republican think decision go afghanistan iraq overly aggressive,” said mr. schlapp. believe vast majority republican hoping lifeanddeath decision made afghanistan iraq right decision combat terrorism.” mr. gingrich said u.s. begin focus narrowly american interests” rather attempting change system governance abroad liking. i think really need discussion effective policy radical islam, since it’s hard argue policy last 12 year effective,” said. mr. gingrich repeated comment expressed interview laura ingraham’s radio show supporting mr. paul extended contretemps new jersey gov. chris christie, fellow republican. mr. christie sharply criticized called esoteric, intellectual debates” said mr. paul ally staging face need stronger security police wake sept. 11 attacks. i consistently side courage rand paul ted cruz have, think it’s sad watch establishment grow hysterical, but, frankly, they’re hysterical answers,” mr. gingrich said laura ingraham show.” mr. gingrich predicted mr. christie’s attack first sign” come party’s foreign policy establishment. the establishment grow hysterical powerful rand paul ted cruz become,” mr. gingrich said. gain strength it’s obvious among people willing raise right questions.” ⦁ researcher john haydon contributed report. sign daily newsletter copyright © 2019 washington times, llc. click reprint permission.",2,right,Washington Times,2013
"opinion: obama shed clark kent demeanor, try superman costume",2014-12-18,"(cnn) case havent noticed, president obama flexing executive muscle lately. paper, headscratcher. all, lost control senate last election. popularity hovering near alltime low. and, course, he lame duck. only one seems told him. it shed clark kentish demeanor flamboyant cape. he superman, sure, he spending awful lot time lately trying get ground. so, suffering political shellacking, he showing still muscle, using executive authority everywhere belief can. president bill clinton famously declared relevance, month losing control house 1994. obama, hand, literally leaping unilateral action: immigration! climate change! regulating internet! cuba! im energized, said buoyant president yearend press conference, friday. im excited prospect next couple years. im certainly going stopping minute... translation: new, alldrama obama. pentup energy, ambition action, barely two month losing control senate. anyone would become annoyed frustrated accused wuss, say senior democratic policy adviser. always better offense defense. it wasnt exactly state secret obama lot todo list election. thinking, according knowledgeable source: felt constrained frustrated tactical responsibility democrat trouble. dont rock boat. dont make democrat take hard votes. dont even campaign red states. didnt. and, turn out, restraint helped one whit. so now, clock ticking, he moved party cheerleader head executive branch. katiebarthedoor, without congress. press conference today, president strongly hinted veto keystone xl pipelineso take republican redstate democrats. want tax reform, too. ti season presidential list, he checking twice legacy looms. everything redefines notion lame duck. but here flurry activity also defines: 2016 presidential race. forcing cuba issue front center, instance, republican presidential wannabe respond. so, too, obamas move immigration. sort new test conservative loyalty created moves. candidate could find pushed direction might otherwise go. for instance, parse difference republican prepresidential candidate marco rubio, jeb bush rand paul obamas cuba deal. rubio called president single worst negotiator white house lifetime. bush like deal, stopped short namecalling. dont think negotiating repressive regime, bush said long way rubios accusation president willfully ignorant naïve. rand paul went even obamas direction, saying, opening cuba probably good idea. in appealing younger cubanamerican demographic, obama making republican choose sides. he gambling number him. eventually, democrat same. obamas audacity turn misdirected, hillary clinton explain likely defend it. he proactive enough, elizabeth warren wing party react. it cliché presidential campaign generally defined president served before. barack obama actively making sure thats case. but there one caveat new, muscular, proactive obamaworld: might lead higher expectations. exactly obama began faded. read cnnopinions new flipboard magazine. follow u twitter @cnnopinion. join u facebook/cnnopinion.",0,left,CNN (Web News),2014
here real reason north korea hacked sony. nothing interview.,2014-12-19,"evidence north korea responsible massive sony hack mounting, many way country already convicted court u public opinion. but, matter conclusive evidence becomes, one thing remains widely misunderstood: north korea would this. despite emerging narrative north korea hacked sony picture revenge insulting kim jong un interview, incident consistent long line north korean attack provocation premised slight — south korean president saying wrong thing, example, u conducting tooclose military exercises. understood excuses, attack response fact part longrunning north korean strategy carefully designed increase international tensions. in buying north korea explanation, helping kim jong un this belligerence meant deter much stronger south korea us, draw international attention north korea use bolster domestic propaganda portraying kim jong un fearless leader showing evil foreign imperialists. meant foment isolation tension allowed kim family hold onto rule, impossibly, decades. nothing sonys film, however offensive may be, film portrayal kim, free speech america. believing north korea rhetoric strongly implying connection, buying country strategy helping kim succeed. it actually interview offending kim jong un there every reason believe interview excuse, sony collateral damage, yet another random act north korean violence made perpetuate international tension kim jong un see serving larger strategic interests. the assumption north korea would want hack sony revenge interview, nowcancelled comedy portray cartoonishly tasteless assassination north korean leader kim jong un. north korean state medium hacker gone great length express outrage film, hacker fact repeatedly suggested motivated them. this conforms american understanding north korea works. see irrational, inherently aggressive country, run lunatic hotheads, easily imagine flying handle hearing interview, especially craziest all, leader kim jong un. north korean medias unhinged statement done lot cement view. thats deliberate: north korea want u see crazy, irrational, volatile — dangerous. north korea long, easy study, history launching seemingly random attack provocations. sony hack fit clearly pattern. past, military attacks. testlaunched longrange offensive missiles, fired dangerously close japan, 2005, 2006, 2007. shelled south korean island yeonpyeong sank south korean naval ship, cheonan, 2010. set test nuclear warhead 2006, 2009, 2013. also launched offensive cyberattacks past, u south korean government target 2009, south korean bank 2011, south korean bank tv station 2013. every time, attack accompanied spate overthetop rhetoric threats, north make every effort portray dangerously irrational, unpredictable threat world peace. certainly dangerous, anything irrational unpredictable. the real reason north korea launch attack the effort north korean state medium make convince u theyre crazy get three real reason north korea launch occasional attacks. the first reason appear crazy dangerous, deter north korea far stronger enemy anything country. kim jong un isnt stupid: know weak, impoverished state much weaker u south korea japan, would love see government collapse. north korea deter enemy threatening dangerous; never stronger, crazier instead, always willing escalate. convinces u countries, even see kims game, easier stay away north korea risk provoking country another flamboyant attack. the second reason north korea keep korean peninsula perpetually locked state hightension lowboil conflict, essential north korean domestic propaganda keeping wouldbe foreign meddler like united states. the country breathtakingly oppressive government kept power, even since 1990s famine, something called songun militaryfirst policy. policy tell north korean reason hungry impoverished locked police state necessary fund military protect internal enemies, keep country safe imperialist american would otherwise surely overwhelm unspeakable things. songun policy requires keeping appearance conflict u going times, mean occasionally north korea lash maintain tensions. the third reason kim jong un belief need keep korean peninsula state perpetual tension conflict maintain government physical security. keep u others defensive wary anything north korea. also frequently generates concession north korea — like sony pulling release interview, u sending former president jimmy carter bill clinton negotiate release american held north korea. even concession symbolic , still serve north korean domestic propaganda. north korea effort fool u working — interview prof it like much north korea behavior, cyberwarfare program another sign that, despite popular portrayal (including interview) wingnut state run delusional madmen, country coldly rational brutally strategic actions. north korea decision hack sony widely misconstrued expression either country insanity outrage interview. sort cartoonish mischaracterization exactly american came believe north korea bunch buffoon probably couldnt dial internet, much le launch one successful cyber attack u history. and portrayal north korea far unique interview, film certainly part promote, playing hermit kingdom hilarious bizarre little oddity country, run crazy man. this strategy portraying crazy remarkably effective securing north korea strategic goals. also quite dangerous. design, risk escalation high, make situation dangerous enough foreign leader want deescalate. put pressure american, south korean, japanese leader decide respond — knowing punishment serve bolster north korean propaganda encourage belligerence. sense, attack calibrated severe enough demand attention, bad lead allout war. people often say north korea launch attack theyre crazy irrational. simple, kim jong un regime would driven extinction decade ago.",0,left,Vox,2014
grumbling boehnerspeakership mutiny,2013-01-02,"a rough twomonth stretch left speaker john a. boehner facing nascent rebellion within party ahead vote whether continue lead house 113th congress convenes thursday. no challenger stepped forward wednesday evening, multiple lawmaker attending evening conference meeting said rumbling discontent within republican ranks. growing complaint signal rocky road ohio republican month ahead try negotiate debt spending fight likely dominate next two years. the speakership vote dramatic recent memory dominate opening day 113th congress, republican retain slimmeddown majority house democrat expand majority senate. addition spending, congress expected debate immigration, gun control broad tax reform. republican enter session trying regroup particularly brutal two week mr. boehner, whose party killed plan b” solution fiscal cliff.” turn democrat pas deal worked white house senate minority leader mitch mcconnell, kentucky republican. nearly twothirds house republican voted deal, said betrayal conservative principle even allow come vote. congressman boehner signed country fiscal suicide pact,” said one incoming congressman, rep.elect steve stockman texas, said one reason vote mr. boehner speaker. mr. stockman, former lawmaker returning congress 16year absence, say alternative would be. denying mr. boehner speakership would require defection least 17 house republican thursday, congress member sworn vote next speaker. one pressure group, american majority action, said late wednesday thought enough republican prepared vote mr. boehner force resign. however, group renegade republican would vote consistently ballot ballot speaker alternative stepped forward, sign happening wednesday evening. mr. boehner met late wednesday member conference vote house rules, rep. phil gingrey, conservative georgia republican, said afterward one spoke speaker gathering. there discontent meeting,” told reporter rumor republican challenge mr. boehner’s speakership. i’ve heard bit piece that, there’s something going on, i’m part it.” house majority leader eric cantor, virginia republican man many thought might challenge mr. boehner, backing him, said cantor aide noted mr. boehner mr. cantor walked republican conference meeting together sign solidarity. but mr. cantor another top lieutenant, house majority whip kevin mccarthy, voted week’s cliff deal, mr. boehner new house republican conference chairwoman cathy mcmorris rodgers voted it. the vote, coupled failure plan b, left mr. boehner wounded. still, wellliked within republican caucus, many rankandfile lawmaker voted cliff deal said reflection speaker. speaker boehner leadership deserve tremendous amount credit done effort solve problem avert fiscal cliff,” said rep. marsha blackburn, tennessee republican. unfortunately, president obama senate majority leader harry reid shown willingness address real root problem — washington’s outofcontrol spending.” rep. tom cole, oklahoma republican, appeared perfectly comfortable wednesday evening idea mr. boehner would keep spot. i don’t sense much way organized opposition,” said. plenty conservative supporting speaker. won’t kind split.” mr. cole pointed mr. boehner party’s helm took control chamber 2010 maintained majority 2012 elections. think reserve good very, deep,” said. after meeting, mr. cole said speaker asking member vote — would possible sign insecurity fear rebellion — added he’d shocked” significant number” republican didn’t vote mr. boehner. this diverse conference — lot strong opinion lot principled people, there’s going difference time time. john boehner manages exceptionally well, don’t sense largescale dissatisfaction leadership,” said. still, mr. boehner felt wrath party sent lawmaker home wednesday without passing emergency spending bill superstorm sandy relief. republican new york new jersey blasted move, one, rep. peter t. king, even told wealthy new york donor contribute party. rep. michael g. grimm, represents hardhit area staten island, voted cliff deal tuesday praised mr. boehner leadership immediately vote. but wednesday morning, clear vote sandy aid would come up, mr. grimm laced speaker floor speech considered voting thursday. after meeting wednesday afternoon, mr. boehner mr. cantor said passing sandy spending would top priority new congress, lawmaker northeast said mr. boehner would retain support. mr. boehner also took heat several conservative booted committee assignment ahead new congress. leadership aide said men ousted weren’t team players, lawmaker outside pressure group said seemed punished conservative voting records. rep. tim huelskamp, kansa republican one member lost committee spot, coy asked whether would vote mr. boehner speaker. we’ll find tomorrow,” said wednesday evening ducked back conference meeting. • sean lengell contributed report. sign daily newsletter manage newsletter copyright © 2019 washington times, llc. click reprint permission.",2,right,Washington Times,2013
"if michael flynn nothing wrong, didn’t tell truth?",2020-05-07,"one issue beginning whether flynn’s call ambassador sergey kislyak violated logan act, bar private u.s. citizen trying influence another country disputes” united states. always somewhat shaky legal argument. noted jan. 12, 2017, column, first disclosed flynn’s call, logan act never criminally enforced. i wrote feb. 11, two day resigned: michael flynn’s real problem isn’t logan act, obscure probably unenforceable 1799 statute bar private meddling foreign policy disputes. it’s whether president trump’s national security adviser sought hide colleague nation preinauguration discussion russian government sanction obama administration imposing.” ad ad in column, quoted question posed rep. adam b. schiff (dcalif.), house intelligence committee chairman would later lead impeachment investigation trump. would [flynn] conceal nature call unless conscious wrongdoing?” there always deeper problem, one still isn’t resolved. trump administration eager blunt punishment obama gave russia know gross interference presidential election? dec. 29 expulsion 35 russian diplomats, obama trying impose cost adversary. evidence show flynn wanted reassure adversary avoid confrontation. how know flynn’s intention? said nov. 30, 2017, guilty plea admitting made false statement conversation kislyak. statement offense” accompanied agreement state dec. 29, 2016, discussion another transition team official, flynn called russian ambassador requested russia escalate situation respond u.s. sanction reciprocal manner.” ad ad wa flynn improperly tricked jan. 24, 2017, interview fbi misstating told kislyak? so, resign later plead guilty? in flynn’s feb. 13, 2017, resignation letter, admitted made misleading statement vice president penny kislyak call. here’s put it: fast pace events, inadvertently briefed vice president elect others incomplete information regarding phone call russian ambassador.” that’s fbi talking, it’s flynn. question, again, misstated facts. on day resigned, flynn offered revealing account interview daily caller. explained talk kislyak 35 guy thrown out. . . . basically, ‘look, know happened. we’ll review everything.’ ” ad ad why matter? issue flynn discussing kislyak serious. russia secretly subverted democratic elections. obama, delayed sanction far long, finally took action dec. 29 expulsions. behalf nation, whose election system attacked. the intelligence community first disclosed russia’s meddling oct. 7, 2016, statement charged russia’s seniormost officials” conducted cyberattack intended interfere u election process.” that initial damning assessment amplified jan. 6, 2017, report, intelligence community said russia tried denigrate” democratic candidate, hillary clinton, harm electability potential presidency” moscow clear preference” trump. ad ad the senate intelligence committee, led republican, spent past three year investigating whether spy chiefs’ finding correct. judgment: committee found reason dispute intelligence community’s conclusions.” we know fbi made serious mistake russia investigation. misstatement omission fbi official application surveillance trump campaign aide carter page egregious. recent disclosure prepared question flynn 2017 trouble anyone worry abuse power federal investigator seeking damning information suspect. but none address fundamental question got story rolling first place: incoming national security adviser telling kremlin’s man washington worry expulsion 35 spies, new administration took office, we’ll review everything”? ad ad that wrong message sending december 2016. accumulation evidence since scope russian subversion, it’s even troubling.",0,left,Washington Post,2020
watch doing: could maryland gov. larry hogan challenge trump 2020?,2019-02-09,"watch doing: could maryland gov. larry hogan challenge trump 2020? enlarge image toggle caption patrick semansky/ap patrick semansky/ap when republican governor skyhigh approval rating deepblue state like maryland, get noticed. for larry hogan, mean republican party starting ask straightforward question complicated answer: maryland popular executive challenge president trump 2020 primary? who larry hogan? last november, hogan became first republican governor win reelection maryland 50 years. entering politics, 62yearold spent two decade private sector businessman. hogan known nononsense demeanor. he also battled cancer — twice — office. unlike elected republicans, hogan spoken trump. thats especially true recent partial government shutdown, significant impact maryland due large federal workforce. when hogan toured baltimorewashington international airport january highlight plight tsa workers, pointedly went trump, many blamed shutdown. it crazy. like, dont get wall, im going shut government. dont open government, cant speak chamber. bunch 2yearolds, know? hogan said, making fun trump house speaker nancy pelosi, dcalif. speaking reporter airport, hogan offered solution d.c. dysfunction: look maryland, republican democrat still able work together. people want jobs. thats try do, said hogan. like 30 mile road, annapolis washington. read metro section [of newspaper]. watch doing. a different vision republican party hogan didnt embrace national spotlight first term. thats changed since winning reelection. hogan said want part national conversation move gop forward. and appearance like one airport — comment trump — republican insider washington publicly urging hogan run president. jerry taylor, head libertarianleaning think tank niskanen center, might biggest cheerleader hogan primary challenge. taylor spoken hogan several times, urging think running higher office. taylor even gave maryland governor book history new hampshire, notsosubtle nod one first primary battle path republican nomination. hogan represents different vision republican party, according taylor. think hogan would popular among voter parties. most people ideologically extreme, say taylor. want competence. want government care them. dont want corruption. gov. hogan able deliver matter governor. a fool errand challenge trump but knocking incumbent president primary — even unpopular president — exceedingly difficult. last time sitting president lost party renomination battle 1856. i dont think realistic expect larry hogan going challenge president trump gop primary 2020, said melissa deckman, political science professor washington college maryland. trump remains enormously popular base party. think would respect fool errand anyone challenge donald trump point. hogan problem, deckman explains, make popular governor — moderate, centrist approach governing — wont favor early primary state like iowa south carolina. you conservative, religiously minded voter quite happy donald trump record religious liberty issue example, deckman said. thats something larry hogan really embraced per se. fact, hogan done opposite maryland. said social issues, example, table im governor. at hogan inauguration, hint presidential bid? hogan — part — hasnt closed door potential 2020 run. recent interview cnn, played idea. would run thought could actually win, hogan said. hogan say he flattered attention, right focus maryland, sworn second term. and yet, second inauguration earlier month, sign — maybe — hogan maryland mind. hogan invited jeb bush — former gop governor florida wellknown trump critic — introduce him. also hired mark salter, former speechwriter late sen. john mccain, rariz., vocal detractor trump, help craft address. while hogan address didnt mention trump name, governor railed debilitating politics washington. maybe, notably, hogan included tidbit father, former maryland rep. lawrence hogan sr., famously became first republican congress call richard nixon impeachment. he put aside partisanship answer demand conscious thought right thing nation loved, hogan said, adding, man, even president united states, law. hogan expected visit early caucus state iowa march. four year ago, one wouldve expected maryland littleknown governor one day talked presidential candidate. but trump challenge — apparent ceiling job approval number polling, looming concern outcome special counsel robert muellers investigation, continuing question business empire possible conflict interest — may created space republican challenger.",1,center,NPR Online News,2019
isi tried bomb base u.s. troop train iraqi force,2015-02-13,"isi force extremely close u.s. airbase, 320 marine training iraqi forces. using iraqi military uniforms, isi fighter tried infiltrate base execute suicide bomb attack, killed iraqi security forces. yet, proximity isi american military personnel fraught danger, especially president obama try get authorization use force resolution congress reject notion enduring offensive ground forces.” nevertheless, fact isi able continue offensive operation show airstrikes might effective, according washington post: the attack came day militant took control of baghdadi, town le five mile base, 320 u.s. service member training iraqi troop tribal fighters. u.s. force several kilometers” attack stage direct threat, statement said. still, targeting base hosting u.s. troop underscored risk american could drawn real engagement militant battlefield. … we readily admit alanbar contested region,” rear adm. john kirby, pentagon spokesman, said friday interview cnn. . . . huge, sprawling base, roughly size boulder, colorado,” minibases inside big base,” added. incident . . . happened nowhere near u.s. coalition force operating.” kirby said u.s. trainer advisers, there’s question they’re close danger.” even though ground combat mission, right defend themselves,” said. ever feel threat, certainly right, responsibility, obligation shoot back.” the capture baghdadi, remained militant control friday, also demonstrates continued ability islamic state stay attack despite coalition airstrikes talk looming counteroffensive major city held group, also known isis, isil and, arabic, daesh. u.s. official maintain militant largely defensive.",2,right,Townhall,2015
mueller probe close completed: acting u.s. attorney general,2019-01-29,"washington (reuters) special counsel robert mueller’s probe russian meddling 2016 u.s. election close wrapping up, acting u.s. attorney general matthew whitaker told reporter monday. i’ve fully briefed investigation look forward director mueller delivering final report,” said press conference u.s. charge china’s huawei technology co ltd. right investigation think close completed hope get report director mueller soon possible.” whitaker’s comment mark first time top government official knowledge investigation publicly confirmed probe final stages. medium outlet reported mueller’s office could close issuing final report investigation. but mueller tightlipped month closeddoor grand jury session criminal charge conclude, leaving question far white house probe reach happen findings. mueller’s investigation recently ensnared longtime confidant president donald trump, political operative roger stone. others trump’s orbit also charged probe, including trump’s former campaign manager, paul manafort, former campaign deputy, richard gates, former national security adviser, michael flynn. trump’s nominee fill attorney general post permanently, william barr, recently pledged make public much report possible, saying mueller required file confidentially. but barr declined pledge release mueller’s report entirety, saying portion might need remain confidential, decision charge certain individuals. russia denies wrongdoing 2016 election. trump repeatedly said involved collusion russia often referred probe witch hunt.” whitaker’s comment mueller investigation likely trigger inquiry democrat accused illegally appointed failing heed ethic advice suggesting recuse overseeing mueller investigation. he due appear house judiciary committee february 8, expected peppered question role mueller probe whether taken step narrow limit mueller investigate. whitaker installed acting attorney general november, trump ousted attorney general jeff sessions. file photo: special counsel robert mueller departs briefing u.s. house intelligence committee investigation potential collusion russia trump campaign capitol hill washington, u.s., june 20, 2017. reuters/aaron p. bernstein/file photo prior joining justice department sessions’ chief staff 2017, whitaker served conservative medium pundit made multiple comment raising skepticism mueller’s investigation. those comments, coupled whitaker’s friendship trump’s 2016 election cochair, sam clovis, raised question whether whitaker recuse himself. at monday’s press conference, whitaker publicly addressed question past statement mueller probe, saying made comment private citizen access publicly available information.",1,center,Reuters,2019
