title,date,content_original,bias,bias_text,source,year
political polarization driving force income inequality,2015-03-31,"once again, researcher found political polarization driving force income inequality. according study published journal elections, public opinion parties, two major american political party pretty good looking economically constituents, thats it. the partisan difference policy reflects redistributive difference policy’s consequence core constituent democratic republican parties,” study’s author concluded. democrat concerned unemployment, republican inflation wages, according study. result seesawing economic priority lead another pathway inequality transmitted.” the mounting polarization america may mean that, ever, attempt political leader pacify core supporter wind leaving others cold,” atlantic’s gillian b. white wrote response study. this isn’t first study make claims. princeton study looked voter partisanship income found 1956 1996, partisanship become stratified income.” in recent years, study argues, party affiliation often directly tied one’s tax bracket. voter vote economic interests, two party basically constant tugof war economy. another study, released last year federal reserve bank dallas, found various cause income inequality increased partisanship, two seem inextricably linked. both income inequality political polarization endogenous (or internal) variable feed back other,’ study concluded. while idea party polarization negatively impacting fight curb income inequality isn’t new, particularly novel, it’s important remember hasn’t always case. a three study referenced mention, polarization inequality began increase hyper speed starting 1970s. historically, party mixture rich poor constituent voted interests, maintaining economic balance much second half 20th century. that longer case, change isn’t economy favors. jj feinauer writer web producer deseret news national. email: jfeinauer@deseretdigital.com, twitter: jjfeinauer.",2,right,Deseret News,2015
factcheck: grim statistic race police killing,2014-12-02,"story highlight propublica analysis police shooting show young black men 21 time likely shot killed young white men but fox news host bill oreilly citing stats showing white killed police black 2012 the differing statistic underscore analyst complaint united state poorly track police shooting syndicated columnist nicholas kristof wrote week young black men 21 time likely shot killed police young white men. fox news channel host bill oreilly much different take show monday night, offering white killed police blacks. in 2012, 123 africanamericans shot dead police. currently 43 million black living u.s.a., oreilly said program . year, 326 white killed police bullets. latest stats available. two dramatically different statistic could right. that reality, part result weak local reporting national data gathering effort police homicides, long frustrated researcher analyst say need know shootings. here two pundit came dramatically different conclusions: kristof citing analysis propublica , combed federal bureau investigation supplementary homicide report. the site reported: 1,217 deadly police shooting 2010 2012 captured federal data show blacks, age 15 19, killed rate 31.17 per million, 1.47 per million white male age range died hand police. whats key propublica narrowed scope analysis 15to19 age range, adjusted population difference account fact white live united state black key difference oreillys approach. the fox news host numbers, meanwhile, came fatal injury database maintained center disease control prevention. a search 2012 death caused legal intervention result use firearm is, police shooting yield number oreilly cited monday night. 1519 age range, database show 20 white people killed 2012 14 blacks. the problem, expert say, united state doesnt collect accurate statistic verify nearly enough information show definitive trend police shootings. there isnt mandatory reporting. selfreporting. almost honor system, sunny hostin, cnn legal analyst, said cnns situation room tuesday. although fbi statistics, people know statistic cant even counted upon, selfreported, hostin said. suggestion along need mandatory reporting law enforcement agency around country think number officer shooting involving young black male actually much higher even selfreported. thats something need part conversation. geoff alpert, university south carolina criminologist, recently told usa today fbi database confirm police shot killed people provides details. the number selfreported individual law enforcement agency local state agency participate. shooting marked justified homicides, little followup.",0,left,CNN (Web News),2014
senate unanimously pass massive coronavirus aid plan,2020-03-25,"washington (ap) — house give final approval friday massive $2.2 trillion economic rescue bill robust backing parties, speaker nancy pelosi said, vote would cap congress’ tumultuous effort rush relief nation battered coronavirus. pelosi spoke thursday morning, hour senate used overnight vote approve measure 960. house member dispersed around country, pelosi republican leader planning bless measure voice vote, probably sprinkling lawmaker present chamber. it pas strong bipartisan support,” said pelosi, dcalif. president donald trump implored lawmaker finish package sign law. the package come house fresh evidence emerges economy recession. government reported 3.3 million new weekly unemployment claims, four time previous record. federal reserve chairman jerome powell said tv interview economy may well recession.” pelosi praised bill’s expansion unemployment benefit provision encourage company hit pandemic keep paying workers, even furloughed. we victory tomorrow america’s workers,” said. somebody different point view, put record, we’re worried that.” the package would give direct payment americans, expand unemployment benefit provide $367 billion program small business keep making payroll worker forced stay home. would steer substantial aid larger industries, too. the unanimous senate vote late wednesday came despite misgiving side whether go far far enough capped day difficult negotiation washington confronted national challenge unlike faced. the 880page measure largest economic relief bill u.s. history. majority leader mitch mcconnell appeared somber exhausted announced vote — released senator washington april 20, though promised recall needed. pray one another, family country,” said mcconnell, rky. the legislation u historic meant match historic crisis,” said minority leader chuck schumer, dn.y. health care system prepared care sick. worker without work. business cannot business. factory lie idle. gear american economy ground halt.” the package intended relief sinking economy nation facing grim toll infection that’s killed 21,000 people worldwide. u.s. death toll surpassed 1,000 people. this unique situation,” powell told nbc’s today” show. typical downturn.” the fed chief went on: what’s happening people asked close businesses, stay home work engage certain kind economic activity they’re pulling back. certain point, get spread virus control time confidence return, business open again, people come back work.” underscoring effort’s sheer magnitude, bill finance response price tag equal half size entire $4 trillionplus annual federal budget. $2.2 trillion estimate white house’s best guess. the drive leader speed bill senate wednesday slowed four conservative republican senator state whose economy dominated lowwage job demanded changes. said legislation written generous worker like store clerk might opt stay unemployment rather return jobs. settled failed vote modify provision. wednesday’s delay followed democratic stalling tactic earlier week schumer held additional money state hospital provisions. the sprawling measure third coronavirus response bill produced congress far largest. build effort focused vaccine emergency response, sick family medical leave worker food aid. house majority leader steny hoyer, dmd., said earlier expected measure pas voice vote without lawmaker return washington. house republican leader kevin mccarthy said thursday member board that. we’ll debate, we’ll voice vote bring move president’s desk,” mccarthy told fox news. said democrat inserted thing bill didn’t deal coronavirus, ”we still get package done hospitals, workers, small businesses.” every day matters, want get done quickly,” mccarthy said. the package heavily negotiated $500 billion program guaranteed, subsidized loan larger industries, including airlines. hospital would get significant help well. the bill would provide onetime direct payment american $1,200 per adult making $75,000 year $2,400 married couple making $150,000, $500 payment per child. a huge cash infusion hospital expecting flood covid19 patient grew talk estimated $130 billion. another $45 billion would fund additional relief federal emergency management agency local response effort community services. democrat said package would help replace salary furloughed worker four months, rather three month first proposed. furloughed worker would get whatever amount state usually provides unemployment, plus $600perweek addon, gig worker like uber driver covered first time. business controlled member congress top administration officials, including trump immediate family members, would ineligible bill’s business assistance. state local authority would receive $150 billion grant fight virus, care resident provide basic services. full coverage: virus outbreak republican inclusion employee retention tax credit that’s estimated provide $50 billion company retain employee payroll cover 50% workers’ paycheck $10,000. company would also able defer payment 6.2% social security payroll tax. pelosi force behind $400 million grant state expand voting mail step democrat billed making voting safer republican critic called political opportunism. package also contains $15.5 billion surge demand food stamp part massive $330 billion title agency operations. most people contract new coronavirus mild moderate symptoms, fever cough clear two three weeks. some, especially older adult people existing health problems, cause severe illness, including pneumonia, death. in united states, 69,000 people sickened virus. ___ associated press writer matthew daly, mary clare jalonick, ricardo alonsozaldivar padmananda rama contributed report.",1,center,Associated Press,2020
tom cole: join president obama quick deal,2012-11-27,"cole say republican would improve position joining hand president. cole: join obama quick deal republican rep. tom cole urged colleague private session tuesday vote extend bush tax rate highest earner end year — battle rest later. the oklahoma republican said interview politico belief vote would violate grover norquist’s antitax pledge he’s alone within republican circles. story continued below at meeting house gop whip team earlier day, made case republican would strengthen position joining hand president barack obama give taxpayer call early christmas present” ensuring tax don’t go jan. 1. cole’s position striking he’s hardly squish” — norquist’s term weakkneed lawmaker — come republican orthodoxy. cole served chairman national republican congressional committee official post within party. he might also provide cover republican looking make agreement avoid sharp fall socalled fiscal cliff. i think ought take 98 percent deal right now,” said freezing income tax rate top 2 percent earners. doesn’t mean agree raising top 2. don’t.” instead, told politico, republican fight president tax rate top earner everyone else taken care of. would rob president argument republican holding tax cut top earners, cole said. some people think that’s leverage debate. it’s democrats’ leverage debate,” said. cole said he’s likely end supporting leadership package put floor, also said lawmaker camp, well still others willing listen. he also adamant tack would run afoul norquist pledge, bind signer join effort raise income tax rates, among things. rather raising taxes, said, republican would voting lower folk nothing — would result increase — rest. i don’t see violation pledge,” said.",2,right,Tom Cole,2012
"the supreme court showdown lgbtq discrimination, explained",2019-10-02,"the supreme court heard three case tuesday ask whether legal fire worker sexual orientation gender identity. alone enough make three important employment discrimination case many years. additional layer cases, layer could imperil worker regardless whether lgbtq. the defendants’ argument would reopen longsettled legal arguments, potentially upending much federal antidiscrimination law process. at fundamental level, altitude express inc. v. zarda, bostock v. clayton county, r.g. & g.r. harris funeral home v. eeoc case whether existing federal ban sex discrimination forbids employment discrimination lgbtq workers. zarda bostock involve donald zarda gerald bostock, gay men allege fired sexual orientation. harris funeral home involves aimee stephens, trans woman fired bos claim would violate god’s commands” allowed stephen deny [her] sex acting representative [the] organization.” the text law ban sex” discrimination, discrimination based worker’s sexual orientation gender identity. case ask whether concept like sexual orientation gender identity tightly bound concept sex (meaning gender, sexual intercourse) ban sex discrimination necessarily protects lgbtq workers. they also first big test supreme court’s new majority treat lgbtq right cases. though retired justice anthony kennedy conservative, also authored court’s important gay right cases. zarda, bostock, harris funeral home tell u great deal whether possible assemble prolgbtq majority supreme court without kennedy’s vote. zoom little three case loom even larger. 1989, supreme court held gender stereotyping form sex discrimination — woman may fired, example, boss deem masculine appearance conduct. yet, one federal appeal court explained 2017, samesex attraction ultimate case failure conform” gender stereotype. something similar could said stereotypical view people’s gender must align sex assigned birth. thus, supreme court hold lawful discriminate gay trans workers, could upend 30yearold rule gender stereotyping. worker — straight queer; trans, cis, nonbinary — could become le secure jobs. even court go far, would difficult rule plaintiff without carving significant exception broad rule sex stereotyping allowed. a national women’s law center argues amicus brief filed behalf long list women’s groups, argument advanced employers, accepted, would roll back protection discrimination based sex stereotyping long understood federal courts, equal employment opportunity commission (eeoc), employers, employee many part nation impermissible workplace discrimination.” zoom little zarda, bostock, harris funeral home acid test reveal committed several justice stated principles. many court’s conservative member avowed textualists — meaning hew late justice antonin scalia’s belief ultimately provision law rather principal concern legislator governed.” text law must obeyed, view, even text lead result drafter never would imagined. yet, explain below, text law issue cases, title vii civil right act 1964, expansive. indeed, expansive zarda, bostock, harris funeral home easy win plaintiffs. these three cases, words, show whether several court’s conservative member able set aside political view textualist principle lead liberal result. show gay right revolution kennedy helped lead halt — even potentially go reverse — kennedy longer court. when text law odds originally intended purpose title vii prohibits employment discrimination occurs [an employee’s] race, color, religion, sex, national origin.” thus, face, law ban kind employment discrimination driven employee’s sex.” only 22 state prohibit employment discrimination based sexual orientation 21 prohibit discrimination based gender identity. supreme court rule favor employer zarda, bostock, harris funeral homes, million lgbtq worker left without legal protections. there’s real argument congress intended prohibit antilgbtq discrimination wrote title vii. 1965, one year president lyndon johnson signed title vii law, early gay right group called mattachine society asked federal government end policy declaring openly gay people unsuitable federal employment.” the government’s response was, say least, sympathetic. said policy would remain place of the revulsion employee homosexual conduct consequent disruption service efficiency, apprehension caused employee homosexual advances, solicitation assaults, unavoidable subjection sexual deviate erotic stimulation onthejob use common toilet, shower living facilities, offense member public required deal known admitted sexual deviate transact government business, hazard prestige authority government position used foster homosexual activity, particularly among youth, use government fund authority furtherance conduct offensive more law society. the government added homosexual conduct” crime every jurisdiction, except specified conditions, illinois.” so difficult imagine lawmaker enacted 1964 civil right law intended ban lgbtq discrimination wrote law. stonewall uprising, seminal protest crystallized modern queer right movement, still half decade away. complete federal ban hiring gay employee lifted 1975. the defendants’ best argument original purpose title vii clearly prevent discrimination basis sexual orientation gender identity. trump administration state brief filed two case involving gay plaintiffs, even judge concluded title vii prohibits discrimination basis sexual orientation acknowledge 1964 ‘sex’ refer ‘sexual orientation.’” and, clear, argument — rooted intended purpose title vii — limit judges. justice stephen breyer argued 2006 book, judge may use many basic tools” interpret law: law’s text, history, tradition, precedent, text law’s purposes,” likely consequence interpretive alternatives.” judge like breyer claim pure textualism legitimate way read law, argument reading law expansively consistent law’s purpose entirely bounds. under existing precedents, however, bound title vii case. the plaintiff oncale v. sundowner offshore service man allegedly forcibly subjected sexrelated, humiliating actions” male colleagues, including physical assault rape threat. opinion justice scalia, court unanimously agreed title vii permitted lawsuit. maleonmale sexual harassment workplace assuredly principal evil congress concerned enacted title vii,” scalia wrote. statutory prohibition often go beyond principal evil cover reasonably comparable evils, ultimately provision law rather principal concern legislator governed.” it matter, words, people wrote title vii thought accomplishing banned sex discrimination. matter expansive word statute — employment discrimination occurs ... sex” banned — say particular case. this zarda, bostock, harris funeral home easy cases. take case gay plaintiffs. plaintiff men allege fired sexual attraction men. presumably employer would permit woman work company sexually attracted men. that’s basic sex discrimination. the employers, it’s worth, reject reading title vii, arguing court must isolate sex” determine whether discrimination took place. long employer would fire employee samesex attractions, argument goes, sex discrimination taken place. show sex discrimination, gay male plaintiff must show employer treat gay men worse lesbians. but it’s hard square argument title vii’s expansive ban discrimination sex.” zarda say response adversary’s argument, company fired men loving romance novels, continued employ woman loved books,” would sex discrimination. company also fired woman (but men) love automotive repair manuals” wouldn’t transform case sex discrimination case literaryorientation discrimination.” would simply double employer’s liability.” the analysis harris funeral homes, case involving trans woman, even straightforward. think case employer’s perspective. employer belief aimee stephen man stephen forbidden deny” true sex. keep job, stephen must comply boss’ understanding man dress act. but bos would require female employee (or, least, employee bos belief female) dress like man comply male gender norms. boss’ rule men must dress act one way woman must dress act different way. that’s sex discrimination. a appeal court decided harris funeral home explained, analytically impossible fire employee based employee’s status transgender person without motivated, least part, employee’s sex.” the hidden stake case a decision plaintiff three case would leave many american without recourse fired sexual orientation gender identity. also broader implications. decision could also undercut civil right protection supreme court already recognizes — including, potentially, safeguard sex stereotyping sexual harassment. let’s start sex stereotyping. supreme court’s decision price waterhouse v. hopkins (1989), recognized stereotyping violates title vii, bit messy court hand single majority opinion. nevertheless, clear majority court supported holding sex stereotyping allowed. justice william brennan wrote plurality opinion behalf three justices, concluding congress intended strike entire spectrum disparate treatment men woman resulting sex stereotypes” enacted title vii. justice sandra day o’connor, meanwhile, wrote separate opinion concluding plaintiff price waterhouse could proceed showed stereotypical attitude towards woman [played] significant, though unquantifiable, role” employer’s decision promote her. so that’s four vote brennan’s position plus fifth vote o’connor — majority court say sex stereotyping allowed. justice anthony kennedy, meanwhile, wrote dissenting opinion arguing title vii creates independent cause action sex stereotyping.” kennedy wrote evidence use decisionmakers sex stereotype is, course, quite relevant question discriminatory intent,” denied stereotyping, itself, violates title vii. bear kennedy’s opinion mind read passage trump administration’s brief harris funeral homes: stephens’s sixth circuit’s sexstereotyping argument rest incorrect premise price waterhouse construed title vii prohibit sex stereotype per se. case, produced majority opinion, merely recognized plaintiff use evidence employer engaged sex stereotyping show employer discriminated sex ordinary title vii rubric. recognize sex stereotyping novel, freestanding category title vii liability. the trump administration’s position identical position dissent took price waterhouse. rather brazenly calling doover 1989 case, perhaps hoping court’s current, conservative majority pretend kennedy’s dissenting view carried day three decade ago. the crux trump administration’s position sex stereotyping plaintiff must prove defendant treated member one sex le favorably similarly situated member opposite sex.” far clear mean practice. a straight man might believe treated le favorably” female colleague forbidden engaging romantic relationship men, gay plaintiff bostick zarda would doubt see question differently. question constitutes le favorable” treatment quite subjective. trump administration’s position would give judge increasingly conservative federal bench enormous discretion decide victim sex stereotyping allowed prevail. a brief women’s group warns, principled reason justifies limiting title vii prohibit some, all, form sex stereotyping,” attempt establish limit would make title vii impossible navigate courts, employers, employees, would guess whether particular behavior conduct related sex stereotype related sexual orientation gender identity—and thus, prohibited federal law—or, whether tied sexual orientation gender identity deemed outside scope sex discrimination barred title vii.” unlike sex stereotyping, sexual harassment explicitly issue zarda, bostock, harris funeral homes. yet decision defendant case could eventually signal end legal protection victim sexual harassment. a explained above, central tension three case whether title vii given textual interpretation whether scope limited way law understood 1964. legal concept sexual harassment” arose several year title vii became law. many source claim term coined mary rowe, official massachusetts institute technology, used term 1973 report. 1979, legal scholar catherine mackinnon wrote seminal book, sexual harassment working women, played significant role popularizing idea sexual harassment violates title vii. supreme court didn’t embrace view 1986 decision meritor saving bank v. vinson, held supervisor sexually harasses subordinate subordinate’s sex, supervisor ‘discriminate[s]’ basis sex.” thus, view title vii lean hard law understood 1964 could potentially wipe protection victim sexual harassment. could render title vii shriveled husk it’s since reagan administration. zarda, bostock, harris funeral homes, words, simply landmark lgbtq discrimination cases. could potentially undercut many foundation america’s antidiscrimination law. defendant prevail, supreme court could potentially turn clock back third century. listen today, explained after sleepy spring term, supreme court united state back looking weigh abortion, immigration, lgbtq rights. looking quick way keep neverending news cycle? host sean rameswaram guide important story end day. subscribe apple podcasts, spotify, overcast, wherever listen podcasts.",0,left,Vox,2019
esper break trump oppose using active duty troop quell protest,2020-06-03,"washington (cnn) secretary defense mark esper shaky ground white house saying wednesday support using active duty troop quell largescale protest across united state triggered death george floyd force used law enforcement role last resort. speaking pentagon briefing room podium, esper noted one situation now, distancing president donald trump recent threat deploy military enforce order. the option use active duty force law enforcement role used matter last resort, urgent dire situations. one situation now. support invoking insurrection act, told reporters. esper also distanced maligned photoop outside st. john church. wednesday press briefing esper went poorly white house, standing already viewed tenuous, multiple people familiar matter said. white house press secretary kayleigh mcenany would directly answer wednesday whether trump still confidence esper, saying instead, right secretary esper still secretary esper. with regard whether president confidence, would say loses confidence secretary esper, im sure first know, mcenany said wednesday press briefing. should president lose faith, learn future, added. late wednesday night, three source told cnn esper stay job now. white house little three hour earlier, several meetings, including one oval office trump. a senior republican source told cnn ongoing tension involving esper trump respect defense chief. esper little influence essentially take lead secretary state mike pompeo, source said, adding latest press conference undoubtedly make thing worse. trump top officials, including national security adviser robert obrien, happy esper wednesday remarks, three people familiar white house thinking said. one white house official said aide get head content espers remarks, notably espers decision publicly break president use military address unrest u cities. espers comment wednesday came defense official told cnn week deep growing discomfort among pentagon even trump announced monday ready deploy active duty force local leader fail ramp enforcement efforts. a tear gas wafted air lafayette park across white house, trump announced rose garden state city leader refuse take action necessary defend life property residents, invoke insurrection act, 1807 law allows president deploy u military suppress civil disorder. esper gen. mark milley, chairman joint chief staff, faced flurry question criticism wake trump comments, pressure culminated espers appearance pentagon briefing room wednesday attempted distance president rhetoric clean own. asked use word battlespace discussing quelling violence street amid civil unrest, esper attempted explain something use day day ... part military lexicon grew ... phrase focused people. in retrospect would used different wording, esper said. esper also addressed killing floyd, calling horrible crime said racism real america, must best recognize it, confront it, eradicate it. the officer scene day held accountable murder. tragedy seen repeat many times. great sympathy, want extend deepest condolence family friend george floyd department. racism real america, must best recognize it, confront it, eradicate it, said. mattis break silence later, wednesday espers predecessor, former defense secretary james mattis, launched extraordinary attac k trump, calling first president lifetime try unite american people—does even pretend try. we witnessing consequence three year deliberate effort. witnessing consequence three year without mature leadership. unite without him, drawing strength inherent civil society, mattis said statement. this easy, past day shown, owe fellow citizens; past generation bled defend promise; children, said. mattis avoided attacking president public remark since resigning december 2018, claiming owes trump administration duty silence. prior statement wednesday, retired fourstar marine corp general mentioned trump name, implicitly criticize former commander chief, sharply disagreed matter international engagement alliances, string recent public statement interviews. mattis made clear wednesday longer feel bound duty, issuing scathing rebuke president served. never dream troop taking oath would ordered circumstance violate constitutional right fellow citizens—much le provide bizarre photo op elected commanderinchief, military leadership standing alongside, said. we must reject thinking city battlespace uniformed military called upon dominate. home, use military requested so, rare occasions, state governors. militarizing response, witnessed washington, d.c., set conflict—a false conflict— military civilian society, mattis added. erodes moral ground ensures trusted bond men woman uniform society sworn protect, part. esper thin ice? meanwhile, wednesday event increased focus fate mattis successor. sentiment inside white house toward esper gradually souring week episode, trump obrien viewing esper entirely committed president vision military. one person suggested white house reluctant fire esper given current crisis fact five month left election. another person suggested trump could leave esper place push blame way. president history letting top official languish position long he lost confidence them. for months, president obrien losing faith espers ability lead military tendency avoid offering fullthroated defense president policies, according multiple administration officials. obrien, particular, spoken president espers television remarks, white house viewed repeated occasion problematic offmessage. least one occasion, obrien presented president printout compare public remark topic esper highlight contrast. trump privately expressed frustration esper recent weeks, aide believe would likely accelerated comment ongoing nationwide protests. vented esper length recent weekend camp david, according multiple sources. those complaint raised question espers future pentagon trump win second term, comment pentagon briefing room wednesday prompted speculation timing departure could moved up, source said. i think end him, added. a u official close esper familiar white house thinking said secretary skewered inside white house coming wednesday express views. (im) sure thought good idea, another official told cnn. in december, esper sat interview fox news bret baier ronald reagan defense forum asked like work trump, responded, another one many boss ive youve time learn work with. the remark irritated president, tends expect lavish praise cabinet, according two administration officials. obrien, contrast, almost never break president public remarks. obrien, took national security adviser last september, said multiple administration official expressed level interest job either secretary state secretary defense, either position become available. on tuesday, white house official scratched head interview esper gave nbc news claiming know walking st. john church monday president. official said plan clear inside west wing espers explanation made little sense. esper clarified wednesday knew going church, know movement would turn photo opportunity. in hour press conference ended, esper seen arriving white house alongside milley attorney general bill barr. the trio stood together, wearing masks, moment entering building. republican defend esper outside gop lunch wednesday, republican sen. mitt romney said hope president listen espers perspective, telling reporters: think secretary esper right express point view, president his, hope president willing listen perspective others take account make decisions. sen. shelley moore capito, republican west virginia, said glad esper made view insurrection act known. the secretary defense need able express opinion, did, told reporter wednesday. asked whether espers job could jeopardy following remarks, face backlash trump, capito said, would hope not, adding expressing opinion president take consideration he leader u armed forces. asked still confidence esper defense secretary, rep. mac thornberry, top republican house armed service simply answered: yes. on tuesday, thornberry said would appropriate esper chairman joint chiefs, gen. mark milley, testify committee president followed threat invoke insurrection act, move esper made clear wednesday believe necessary time. i concerned current environment, would easy put men woman uniform middle domestic political cultural crisis. discussion regarding insurrection act could easily make political pawns. respect, trust, support troop earned fellow citizen foundation strength must careful erode strength, said statement. asked tuesday confidence esper, democratic chairman house armed service committee, rep. adam smith, said cant really answer question point speaks esper, done yet despite requesting conversation him. smith also called esper milley testify panel open hearing next week explain domestic engagement american people. i serious concern using military force respond protestors. role u military domestic u law enforcement limited law. must used violation limit see little evidence president trump understands fundamental premise, said. but esper attempted clarify view using active duty troop rein protester wednesday, milley notably absent press briefing. when asked present, defense official told cnn milley belief political civilian control explain current situation.",0,left,CNN (Web News),2020
"opinion: obama shed clark kent demeanor, try superman costume",2014-12-18,"(cnn) case havent noticed, president obama flexing executive muscle lately. paper, headscratcher. all, lost control senate last election. popularity hovering near alltime low. and, course, he lame duck. only one seems told him. it shed clark kentish demeanor flamboyant cape. he superman, sure, he spending awful lot time lately trying get ground. so, suffering political shellacking, he showing still muscle, using executive authority everywhere belief can. president bill clinton famously declared relevance, month losing control house 1994. obama, hand, literally leaping unilateral action: immigration! climate change! regulating internet! cuba! im energized, said buoyant president yearend press conference, friday. im excited prospect next couple years. im certainly going stopping minute... translation: new, alldrama obama. pentup energy, ambition action, barely two month losing control senate. anyone would become annoyed frustrated accused wuss, say senior democratic policy adviser. always better offense defense. it wasnt exactly state secret obama lot todo list election. thinking, according knowledgeable source: felt constrained frustrated tactical responsibility democrat trouble. dont rock boat. dont make democrat take hard votes. dont even campaign red states. didnt. and, turn out, restraint helped one whit. so now, clock ticking, he moved party cheerleader head executive branch. katiebarthedoor, without congress. press conference today, president strongly hinted veto keystone xl pipelineso take republican redstate democrats. want tax reform, too. ti season presidential list, he checking twice legacy looms. everything redefines notion lame duck. but here flurry activity also defines: 2016 presidential race. forcing cuba issue front center, instance, republican presidential wannabe respond. so, too, obamas move immigration. sort new test conservative loyalty created moves. candidate could find pushed direction might otherwise go. for instance, parse difference republican prepresidential candidate marco rubio, jeb bush rand paul obamas cuba deal. rubio called president single worst negotiator white house lifetime. bush like deal, stopped short namecalling. dont think negotiating repressive regime, bush said long way rubios accusation president willfully ignorant naïve. rand paul went even obamas direction, saying, opening cuba probably good idea. in appealing younger cubanamerican demographic, obama making republican choose sides. he gambling number him. eventually, democrat same. obamas audacity turn misdirected, hillary clinton explain likely defend it. he proactive enough, elizabeth warren wing party react. it cliché presidential campaign generally defined president served before. barack obama actively making sure thats case. but there one caveat new, muscular, proactive obamaworld: might lead higher expectations. exactly obama began faded. read cnnopinions new flipboard magazine. follow u twitter @cnnopinion. join u facebook/cnnopinion.",0,left,CNN (Web News),2014
opinion: debunking donald trump latest conspiracy theory google,2018-08-28,"(cnn) playbook, now, familiar. faced negative story story president donald trump us twitter feed float conspiracy theory sort designed distract deflect. on tuesday, weathering selfinflicted wound caused unwillingness acknowledge meaningful way death late sen. john mccain, trump took twitter 5:24 a.m. send message google search result trump news show viewing/reporting fake new media. words, rigged, & others, almost story & news bad. fake cnn prominent. republican/conservative & fair medium shut out. illegal? 96% result trump news national leftwing media, dangerous. google & others suppressing voice conservative hiding information news good. controlling & cannot see. serious situationwill addressed! so. president united state alleging broadscale conspiracy filter news largest search engine world. evidence? type trump news google, produce viewing/reporting fake news media. her conclusion: i expected see skewing result based extensive experience google, prepared blatant prioritization leftleaning antitrump medium outlets. looking first page search results, discovered cnn big winner, scoring two first ten results. leftleaning site appeared first page cbs, atlantic, cnbc, new yorker, politico, reuters, usa today (the last two outlet list could arguably considered centrist others). not single rightleaning site appeared first page search results. i replicated search trump news. here first page result looked like: the first story abc news, second fox, third cnbc. according attkisson model, thats two liberal publication one conservative one. there problem pj medium piece attkisson medium chart based. first, attkissons medium bias chart exactly objective measure journalistic fairness integrity. every major mainstream medium outlet country cnn new york time washington post bloomberg cast leftleaning. infowars, alex jones conspiracy website, placed centerright. conservative agree. im going convince them. but, believe infowars editorial process get something published washington post, guarantee wrong. second, bolyard make clear google search engine work zero publication ideology. writes: google secretive algorithm, although company say variety factor — around 200 them, according google — go page ranked. fact, whole science developed — called search engine optimization (seo) — purport help site become visible google search results. factor relevance topic, design website, internal external links, way article written formatted affect site google traffic. google constantly tweaking algorithm, website traffic prospect rise fall depending changes. pj medias google search traffic, example, dropped precipitously may 2017 algorithm change. yet recover lost traffic. conservative site reported similar drop traffic. what bolyard suggesting dont know algorithm google us populate news tab, possible could purposely editing conservative sites. cant rule out, one say shes suggesting isnt true. (id point lot lot smart piece google news algorithm work little ideology.) this essence conspiracy theories: cant prove beyond shadow doubt wrong, might right! best conspiracy theory perfect machine regard; attempt debunk a) necessarily come short definitive proof cannot exist b) act attempting debunk seen surefire sign conspiracy! a google spokesperson responded tuesday trump tweet, saying statement: user type query google search bar, goal make sure receive relevant answer matter seconds. search used set political agenda dont bias result toward political ideology. the statement continues: every year, issue hundred improvement algorithm ensure surface highquality content response user queries. continually work improve google search never rank search result manipulate political sentiment. whats remarkable even bolyards attempt prove point, provides insight fundamentally undermines it. performed search multiple time using different computer (registered different users) google returned similar results, writes. scientific, result suggest pattern bias rightleaning content. ... scientific. thats like saying, im doctor medical training, pretty sure going die next week. thanks opinion but, like, opinion. expert opinion. one with, know, science methodology behind it. what president united state peddling 54 million twitter followers, then, anecdote hung flawed analysis medium partisanship. conclusion bolyards piece draw entirely based believed going investigation. every major medium outlet country biased, google us size medium outlet frequency cited source search algorithm (and does!), voila, search conducted via google biased. like said: conspiracy theory pervasive many simply impossible prove false. which, course, doesnt make true.",0,left,CNN - Editorial,2018
obama: hillary clinton’s personal email mistake didn’t endanger u.s.,2015-10-11,"president barack obama, shown thensecretary state hillary clinton september 2012, said sunday mrs. clinton personal email setup didnt endanger national security. photo associated press president barack obama said former secretary state hillary clinton use personal email server mistake, u.s. national security hadn’t endangered. in first extensive remark controversy roiled democratic presidential primary, mr. obama said cbs’s 60 minutes” program sunday question mrs. clinton email arrangement legitimate. it important answer question satisfaction american public, mr. obama told cbss steve kroft. when offices, sensitive stay far away line possible come handle information, handle personal data. and, know, made mistake. acknowledged it, president said. at same, mr. obama said email arrangement didn’t put u.s. risk said issue politicized. the fact last three month thats spoken indication presidential political season, said. tell situation america national security endangered.” while secretary state, mrs. clinton used personal email account run email server. critic say action made public record request difficult may left sensitive national security information vulnerable hackers. mrs. clinton said state department rule didn’t forbid use personal email account. democrat said congressional investigation mrs. clinton become increasingly partisan. fbi also investigating. on sunday, republican former staffer house select committee benghazi, investigating mrs. clinton’s email practice broader inquiry 2012 attack u.s. diplomatic post libya, said investigation become overly political focused entirely mrs. clinton emails. maj. bradley podliska, intelligence officer air force reserve, said lost job investigator committee partly resisted pressure focus investigation mrs. clinton state department’s role attacks.",1,center,Wall Street Journal - News,2015
